date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2017-07-31,,,,0.0,346.36,1075960.0,,,,,,,,,
2017-08-01,,,,4855615612.79,294.6,65988800.0,,,,,,,,,
2017-08-02,,,,6302412307.06,382.38,416207008.0,,,,,,,,,
2017-08-03,420493677.867,331352075.351,20909,7392235056.31,448.49,161518000.0,437.5,20.23473119,73260,2.95657053175e+11,12444,629.606286548,0.00033919,16479358,35
2017-08-04,447588072.612,329845060.294,26517,5969656149.71,362.18,185038000.0,237.5,21.32449804,88171,2.25505642692e+11,16108,669.144040055,0.00025842,21743417,19
2017-08-05,231673055.86,174528052.518,15194,3809332514.43,231.11,144043008.0,162.5,11.22425776,53859,2.25505642692e+11,9989,450.392564419,0.00025225,12025454,13
2017-08-06,191471418.992,130659664.519,11791,3497474586.91,212.18,107606000.0,812.5,9.15282496,41285,1.51123557512e+11,7905,380.559727158,0.00023615,8983068,65
2017-08-07,282773638.305,150298987.788,16114,3688627309.69,223.76,346545984.0,975.0,8.6803523,56637,1.44323701657e+11,12207,533.058464865,0.00019493,11194094,78
2017-08-08,312076697.58,142033060.424,12855,5297452201.45,321.35,274880000.0,287.5,8.44009814,37606,1.33028839463e+11,9440,642.954811269,0.00021661,10794377,23
2017-08-09,189875351.956,123363609.725,10798,5692395447.26,345.28,165032000.0,1187.5,5.51291228,31398,1.15459053828e+11,7460,857.203473901,0.00019493,6894409,95
2017-08-10,135296549.811,88738304.194,9949,5032212212.17,305.21,136636992.0,1250.0,5.30796253,31366,1.15459053828e+11,7609,621.5845818,0.00021382,7010906,100
2017-08-11,189923981.943,87240438.3026,10507,4548837163.09,275.88,233971008.0,837.5,4.78128428,30578,1.15459053828e+11,8549,787.660096648,0.000187,6132245,67
2017-08-12,246619061.638,84767049.8745,7543,5405527079.59,327.82,126007000.0,900.0,4.60345208,24435,1.15459053828e+11,5010,612.892537534,0.00021728,8563011,72
2017-08-13,89313124.2911,56689619.7562,7814,5215745763.5,316.29,120722000.0,975.0,4.83887706,23171,1.15459053828e+11,5244,546.09079365,0.00021681,8666790,78
2017-08-14,142244610.723,102584757.121,9833,4883059628.31,296.1,174968000.0,1137.5,5.78545113,32063,1.15459053828e+11,8689,551.096914032,0.000187,12249457,91
2017-08-15,145075437.362,127208247.066,7696,4917881691.88,298.18,133924000.0,1400.0,4.87569032,25916,1.15459053828e+11,5920,514.588914825,0.000187,8196260,112
2017-08-16,100329093.162,83416782.3456,135552,4914665035.0,297.97,106436000.0,1050.0,4.35333251,185955,1.15459053828e+11,38301,0.0122882828,7.5e-06,30708572,84
2017-08-17,270791381.501,156404422.982,10813,4965215780.33,301.02,744604992.0,812.5,8.46124586,32638,1.15459053828e+11,9243,722.443665312,0.000134,6632735,65
2017-08-18,696156355.575,306368602.727,22796,7565968051.5,458.67,3087490048.0,812.5,8.81946855,60756,1.15459053828e+11,19914,1371.08690225,0.000113,12230381,65
2017-08-19,850459716.681,466930024.716,27728,11499090679.1,697.04,3196229888.0,1637.5,11.99113257,75428,1.15459053828e+11,23583,1742.59195616,0.000134,15789341,131
2017-08-20,476531316.965,301569179.952,19530,12747049866.9,772.42,1494019968.0,5800.0,8.876545,51980,72294285468.2,16626,2306.73390824,0.0001567,13646833,464
2017-08-21,329069548.516,198149104.14,16436,11949942329.2,723.7,1123399936.0,9550.0,7.12165057,45061,68222137509.7,15262,1707.12140534,0.000134,14376178,764
2017-08-22,472089714.071,253699748.764,15033,9850964668.97,596.19,1393260032.0,10687.5,6.34074654,41384,74685287379.0,15785,1800.04609708,0.0001125,12271777,855
2017-08-23,344970799.637,207334124.39,9684,11417008464.0,690.96,501983008.0,275.0,4.19772886,32477,2.72888550039e+11,10902,1422.24595953,9.6e-05,6471527,22
2017-08-24,748264395.26,276359414.004,13311,11075904905.7,670.03,407176992.0,7112.5,7.21468871,55227,91536833682.3,14160,2949.05489932,0.00011226,17391062,569
2017-08-25,375608222.577,152986940.062,10916,10371026230.3,627.06,348632000.0,8600.0,5.53354222,29759,89420641867.3,13041,1886.95655824,7.84e-05,6820313,688
2017-08-26,266767375.951,128859377.572,8233,10621494192.2,641.88,193414000.0,8450.0,3.66496469,37466,89420641867.3,9915,822.321582696,9.6e-05,15280977,676
2017-08-27,277237421.11,180709632.123,6328,10357223585.0,625.89,402718016.0,537.5,2.93697368,21367,1.317012917e+11,7930,1169.8320095,9.6e-05,3846288,43
2017-08-28,218358917.829,175889720.661,10161,10256146061.2,619.7,216272992.0,2175.0,4.39485369,30729,1.25189898707e+11,10250,1075.55923357,9.726e-05,7451820,174
2017-08-29,586720549.1,318944489.204,12858,9867112579.42,596.13,370016992.0,1775.0,5.11311822,38572,1.19369386419e+11,11959,1578.06144021,0.0001,7802240,142
2017-08-30,762988847.786,532534001.698,15867,9092915200.9,549.32,443856000.0,1075.0,3.97986965,95981,1.19369386419e+11,9002,593.143898154,0.000113,66936991,86
2017-08-31,198901314.438,165124520.528,13568,9539399202.53,576.25,298144000.0,1075.0,4.39237606,69559,1.19369386419e+11,7305,299.8697587,0.00014894,75923072,86
2017-09-01,221605163.699,161674734.539,10362,9741313145.72,588.4,393839008.0,1450.0,3.7594561,32092,1.19369386419e+11,7979,670.107712932,9.6e-05,27172842,116
2017-09-02,210947758.461,154309063.461,7858,10298021845.2,621.96,350478016.0,1675.0,2.77770443,21439,1.19369386419e+11,6151,1126.00608658,9.6e-05,4239513,134
2017-09-03,220102637.69,141520556.344,7515,9575598536.75,578.27,344862016.0,1637.5,2.50160359,24984,1.19369386419e+11,5865,1287.94652007,9.6e-05,6114668,131
2017-09-04,382676045.729,304571248.136,7599,10073186170.3,608.26,328956992.0,1612.5,4.31505577,21675,1.19369386419e+11,6858,1427.12886322,9.6e-05,4683681,129
2017-09-05,305974479.97,207341555.511,7328,8527801718.34,514.9,338977984.0,1400.0,2.36431426,23093,1.19369386419e+11,6799,947.18856867,5.978e-05,8652978,112
2017-09-06,383228353.182,231762552.939,8578,8965564672.3,541.28,693240000.0,1750.0,2.3711804,25721,1.19369386419e+11,8300,1636.87115903,9.6e-05,6711565,140
