date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-07,,8,,,,6,
2017-07-08,,35,,,,24,
2017-07-09,,137,,,,82,
2017-07-10,,68,,,,55,
2017-07-11,,404,,,,304,
2017-07-12,,534,,,,421,
2017-07-13,,511,,,,389,
2017-07-14,,422,,,,362,
2017-07-15,,58,,,,52,
2017-07-16,,29,,,,28,
2017-07-17,,23,,,,27,
2017-07-18,,30,,,,29,
2017-07-19,,53,,,,41,
2017-07-20,,13,,,,18,
2017-07-21,,33,,,,32,
2017-07-22,,14,,,,16,
2017-07-23,,12,,,,14,
2017-07-24,,30,,,,30,
2017-07-25,41775.7365983,29,11520300.0,0.115203,145269.0,21,574.286955
2017-07-26,5858.57167152,9,10589300.0,0.105893,200395.0,11,282.946096
2017-07-27,16231.6427037,17,10510800.0,0.105108,344499.0,22,348.645233052
2017-07-28,9536.22290056,14,10763200.0,0.107632,342568.0,19,290.498768
2017-07-29,24588.7270223,3,10478200.0,0.104782,340218.0,6,755.059092
2017-07-30,1472.43739715,3,10793500.0,0.107935,224261.0,6,319.8006115
2017-07-31,107658.601588,8,10682800.0,0.106828,240309.0,9,80.41317458
2017-08-01,221259.889177,10,10459479.0531,0.104595,300413.0,12,1661.09547373
2017-08-02,11605.314107,13,9972100.0,0.099721,256793.0,17,166.53407
2017-08-03,6547.97413976,9,10032800.0,0.100328,293008.0,10,460.605848
2017-08-04,11301.0326232,15,10668500.0,0.106685,287621.0,19,170.589315
2017-08-05,339962.085134,22,10741800.0,0.107418,542878.0,27,1616.533482
2017-08-06,15571.1826569,11,12929300.0,0.129293,393681.0,10,710.982207
2017-08-07,58380.141718,28,13395800.0,0.133958,748177.0,28,501.6325226
2017-08-08,68935.7482865,37,14899800.0,0.148998,2617340.0,35,1191.9542004
2017-08-09,517400.677509,54,22474800.0,0.224748,3075320.0,43,1114.31878859
2017-08-10,128707.675212,55,25182700.0,0.251827,4118070.0,51,676.637743705
2017-08-11,713871.823784,67,34878500.0,0.348785,4413920.0,55,1046.006215
2017-08-12,449314.815936,81,39219300.0,0.392193,5080760.0,71,1058.8818807
2017-08-13,1484082.3623,100,44599000.0,0.44599,13852100.0,94,1039.19817707
2017-08-14,1809039.50292,266,86994336.4046,0.872918,51698100.0,199,402.688421334
2017-08-15,1122312.74697,201,132567122.642,1.33,19824400.0,137,464.17
2017-08-16,635970.509915,149,111785333.333,1.12,31363100.0,120,485.91088
2017-08-17,1583517.79628,234,143791675.127,1.44,61296500.0,166,489.6
2017-08-18,6020701.34628,391,193324369.748,1.93,69048000.0,285,517.24
2017-08-19,777488.903434,202,233375698.565,2.33,43391300.0,158,545.5462
2017-08-20,689031.241378,230,211217752.0,2.11,65350400.0,168,410.546455102
2017-08-21,1133104.95794,369,243099900.0,2.43,72000600.0,283,486.0
2017-08-22,1256138.44042,276,271483309.237,2.72,52091300.0,204,678.97592
2017-08-23,1292158.02057,351,247041166.667,2.47,64925100.0,284,631.935924473
2017-08-24,802641.713126,274,262924857.143,2.63,45080400.0,233,396.057631267
2017-08-25,19291235.578,269,238700772.0,2.39,49977600.0,235,1431.61
2017-08-26,759993.319189,154,252925382.488,2.53,26690700.0,136,857.67
2017-08-27,416973.169849,144,217478318.408,2.18,17214900.0,144,610.4
2017-08-28,344692.676536,137,202287156.863,2.02,15413900.0,135,473.00118
2017-08-29,639843.035316,146,210780849.785,2.11,20372000.0,161,462.09
2017-08-30,616828.820517,146,228004851.064,2.28,24830000.0,136,1162.8
2017-08-31,595761.638363,139,233401395.455,2.33,20214800.0,143,1169.66
2017-09-01,359975.321882,100,220385462.185,2.2,20990700.0,108,851.4
2017-09-02,617621.799272,162,250336683.417,2.5,22995400.0,146,432.125
2017-09-03,4670154.49611,172,192486962.025,1.93,11662000.0,153,460.803934968
2017-09-04,2007509.18287,379,157935295.238,1.58,20075100.0,306,590.92
2017-09-05,403886.75851,205,103000000.0,1.03,9453770.0,183,428.995
2017-09-06,744138.566023,214,98701328.3431,0.990521,14279400.0,204,495.2605
2017-09-07,388877.70604,175,102715810.219,1.03,15442300.0,159,525.3
2017-09-08,1754179.70185,220,139560594.059,1.4,9872850.0,202,458.2655
2017-09-09,555450.363432,150,101000000.0,1.01,4011510.0,142,319.16
2017-09-10,418499.406456,103,98207800.0,0.982078,3257430.0,101,262.083227548
2017-09-11,272670.17903,89,94532474.8214,0.949186,5167180.0,96,163.783864193
2017-09-12,429110.069575,115,102572153.846,1.03,7213490.0,128,309.0
2017-09-13,212143.217898,76,104000000.0,1.04,2780700.0,86,203.84
2017-09-14,371206.881421,87,93787000.0,0.93787,3134360.0,89,280.3762365
2017-09-15,1229800.27595,80,68330500.0,0.683305,4625680.0,92,188.54571526
2017-09-16,429094.558825,63,80805600.0,0.808056,2829570.0,72,310.13795322
2017-09-17,304683.366547,47,80342300.0,0.803423,1273640.0,50,83.9137868
2017-09-18,206028.026062,43,78956500.0,0.789565,3717860.0,52,307.93035
2017-09-19,97339.3320062,40,90739800.0,0.907398,2888420.0,50,272.824634466
2017-09-20,120372.960492,41,81503200.0,0.815032,2536950.0,52,165.82492869
2017-09-21,116605.263327,45,76401300.0,0.764013,2238040.0,47,228.32528505
2017-09-22,194030.494107,47,69887100.0,0.698871,2099500.0,48,89.455488
2017-09-23,22447.9890573,47,71719600.0,0.717196,2276080.0,48,102.986951168
2017-09-24,29328.2014425,26,77580400.0,0.775804,2402720.0,30,137.254739424
2017-09-25,1569753.98682,43,78424400.0,0.784244,3695220.0,47,293.2288316
2017-09-26,2160532.92527,90,91892200.0,0.918922,3460160.0,96,197.913438212
2017-09-27,307056.554881,73,85844524.0947,0.855698,8394020.0,83,332.533191279
2017-09-28,5934003.76304,137,114823333.333,1.15,13944300.0,152,99.8804404695
2017-09-29,174736.792522,61,136594393.701,1.37,8474270.0,72,500.038355
2017-09-30,829262.637192,301,127355203.125,1.27,6194570.0,297,1.27
2017-10-01,185702.146325,1262,127709699.346,1.28,9043600.0,1146,0.128
2017-10-02,706967.087732,1912,153364545.918,1.53,19367700.0,1737,0.153
2017-10-03,263101.529914,1486,197075769.231,1.97,14411500.0,1408,0.197
2017-10-04,98655.2411019,2578,185171125.0,1.85,7227750.0,2364,0.185
2017-10-05,140830.25274,2979,162853494.048,1.63,7503500.0,2677,0.163
2017-10-06,266507.047001,39,167990430.38,1.68,6076260.0,48,293.70432
2017-10-07,186060.938643,55,161433069.62,1.61,5578780.0,64,298.999962722
2017-10-08,179411.741048,41,157641262.295,1.58,4515300.0,48,331.642
2017-10-09,85023.6976558,59,121326700.0,1.21,9667100.0,75,242.0
2017-10-10,108957.422299,65,143345669.065,1.43,6912770.0,80,224.958162
2017-10-11,97021.1225471,51,140365174.825,1.4,6123140.0,62,210.0
2017-10-12,83066.1524369,43,143401253.731,1.43,5275850.0,54,345.435736889
2017-10-13,141072.922951,53,133579388.889,1.34,5705760.0,79,402.02671984
2017-10-14,107982.548252,65,146827227.273,1.47,3355060.0,79,706.71573
2017-10-15,137426.609141,69,149850000.0,1.5,5987930.0,63,632.68275
2017-10-16,100384.459006,56,156075833.333,1.56,2960330.0,63,353.31426
2017-10-17,110624.831813,42,143994820.144,1.44,1744390.0,47,225.36
2017-10-18,4737500.96824,51,138744992.481,1.39,2311140.0,59,695.0
2017-10-19,111262.868306,52,133479007.812,1.33,1791220.0,54,238.07266
2017-10-20,20824.0328927,41,126934159.484,1.28,1703230.0,51,227.539108763
2017-10-21,68948.2290112,34,123175158.944,1.24,1331640.0,49,250.355626909
2017-10-22,44616.4818041,32,125146347.917,1.26,1631220.0,35,126.0
2017-10-23,761260.108239,47,122172191.237,1.23,2355560.0,47,201.72
2017-10-24,1660200.84325,69,116689773.312,1.18,4833390.0,77,311.36365
2017-10-25,61942.0629308,30,123050416.928,1.24,2288360.0,33,229.038557062
2017-10-26,52731.581688,28,124613291.901,1.26,2400010.0,32,443.424449248
2017-10-27,92964.2048674,54,120234968.709,1.21,2067650.0,59,347.8882495
2017-10-28,97858.3692797,32,117097624.243,1.18,1495260.0,39,559.91
2017-10-29,16923.9650548,32,116952414.081,1.18,1969690.0,39,116.82
2017-10-30,43198.4518383,40,121998256.076,1.23,2437230.0,44,304.34628
2017-10-31,229242.368976,1065,132971463.053,1.34,3397150.0,1000,0.134
2017-11-01,142030.11516,2662,132840923.397,1.34,2118920.0,2435,0.134
2017-11-02,63237.1127176,2308,124722132.231,1.26,3550520.0,2265,0.126
2017-11-03,198261.449418,2824,127659821.651,1.29,3201070.0,2765,0.129
2017-11-04,148664.944794,4691,144313629.671,1.46,4685320.0,4509,0.146
2017-11-05,177981.263328,3870,162560299.026,1.64,2681150.0,3607,0.164
2017-11-06,73364.0217247,71,151471156.758,1.53,5042750.0,85,229.959
2017-11-07,99866.7436283,66,155146229.006,1.57,9469500.0,82,332.84
2017-11-08,598940.378585,164,178314751.33,1.8,18796200.0,143,723.159612828
2017-11-09,209846.943563,108,203057239.724,2.05,19192200.0,128,338.3058625
2017-11-10,325734.515,79,198668752.867,2.01,11155000.0,79,395.477642962
2017-11-11,395312.748107,56,177284940.976,1.79,8178150.0,58,466.853468197
2017-11-12,194842.339223,72,165319656.987,1.67,15298700.0,78,267.716970544
2017-11-13,2611631.23944,59,151188437.45,1.53,12238800.0,65,289.014053144
2017-11-14,170649.240336,54,167605182.415,1.69,7829600.0,62,199.05834
2017-11-15,376456.944512,234,157478563.294,1.59,7615500.0,243,0.159
2017-11-16,180690.824276,159,154258497.949,1.56,8928640.0,178,0.156
2017-11-17,385559.77212,67,156479417.417,1.58,8508840.0,69,158.12482
2017-11-18,86716.0791788,53,149898794.976,1.51,32167300.0,62,300.49
2017-11-19,335044.065139,105,165740574.168,1.67,38081700.0,107,15.03
2017-11-20,114082.473018,99,161836151.827,1.63,12994500.0,110,162.4947
2017-11-21,249543.170533,151,164788281.414,1.66,5440790.0,154,1.66
2017-11-22,167906.355691,278,157603382.516,1.59,7177000.0,283,0.159
2017-11-23,95161.9666726,495,159278839.368,1.61,8392640.0,489,0.161
2017-11-24,74871.2111219,650,155245012.012,1.57,12155400.0,657,0.157
2017-11-25,46406.8921518,430,170656527.316,1.72,12839900.0,445,0.172
2017-11-26,225255.670107,699,187453074.843,1.89,9056850.0,711,0.189
2017-11-27,53632.4292617,189,185440595.433,1.87,22826600.0,205,0.187
2017-11-28,356159.721989,111,193775328.542,1.96,36377700.0,136,95.991
2017-11-29,444432.181662,259,190273087.269,1.92,43765500.0,224,320.47872
2017-11-30,476968.68719,452,174000629.44,1.76,31559500.0,362,191.7432
2017-12-01,330157.682153,194,198050002.899,2.0,28867200.0,155,211.9455
2017-12-02,186808.374188,129,206361018.0,2.08,24332700.0,122,306.64608
2017-12-03,41981806.6058,234,206684066.314,2.09,35163500.0,236,2715.88603
2017-12-04,7091664.29253,209,223922618.892,2.26,41226200.0,201,675.74
2017-12-05,1856787.33768,128,247087532.692,2.5,49190000.0,140,304.925
2017-12-06,146981.033678,109,255228281.097,2.58,41731500.0,105,258.0
2017-12-07,510996.456403,177,252481158.615,2.55,28297900.0,156,510.0
2017-12-08,64455673.8346,1489,274333712.519,2.77,38648500.0,1474,9431.67826
2017-12-09,68785899.0026,1885,280255784.782,2.83,27217000.0,1874,5832.63
2017-12-10,831737.910113,106,263735135.492,2.66,19258500.0,103,417.62
2017-12-11,4223391.91256,113,248217922.483,2.51,19427000.0,108,459.986722003
2017-12-12,5440307.1574,126,270787311.571,2.73,24523200.0,107,661.877483276
2017-12-13,973860.947542,166,266165623.442,2.69,28429500.0,140,538.05062662
2017-12-14,1345012.54981,301,274159419.348,2.77,40335300.0,217,1670.140476
2017-12-15,1451940.74042,200,312583088.84,3.16,52745900.0,184,504.786946852
2017-12-16,1697909.855,216,413300382.264,4.17,54002400.0,187,1027.905
2017-12-17,2102638.75751,337,462132071.455,4.67,98159600.0,289,765.88
2017-12-18,1668555.59207,334,572867722.399,5.79,66623700.0,287,1490.7273444
2017-12-19,5006060.70363,1068,559654224.689,5.65,66695200.0,654,3390.0
2017-12-20,3008994.60649,286,572871605.797,5.79,47866900.0,224,1609.28655804
2017-12-21,1419710.31731,293,512893510.0,5.18,46905500.0,270,1036.0
2017-12-22,1116134.49922,250,515405319.53,5.21,36672600.0,225,850.475768362
2017-12-23,620688.092746,169,434605002.293,4.39,32930300.0,163,430.22
2017-12-24,1189656.15251,182,468943092.023,4.74,43676900.0,170,509.061428932
2017-12-25,1014670.00211,171,525765141.357,5.31,66374400.0,158,643.075858079
2017-12-26,2593746.95113,416,649490120.434,6.56,167812992.0,389,651.08
2017-12-27,3318010.49837,404,915607725.668,9.25,167808000.0,370,917.872882585
2017-12-28,1347239.77956,320,1003163563.49,10.13,109298000.0,289,561.9288275
2017-12-29,890856.835882,297,922559089.662,9.32,70849400.0,278,512.6
2017-12-30,1227316.74485,482,862523041.383,8.71,72933904.0,452,17.42
2017-12-31,7187186.12381,2038,767955572.648,7.76,74927904.0,1774,0.776
2018-01-01,3454647.94009,1320,854959215.559,8.63,66422800.0,1192,0.863
2018-01-02,3974279.63188,1469,837447130.446,8.46,104789000.0,1383,0.846
2018-01-03,8585145.9297,1581,867977767.813,8.77,108852000.0,1426,0.877
2018-01-04,2614493.2596,864,936087660.879,9.45,158819008.0,784,18.9
2018-01-05,2377928.93492,557,905808077.423,9.15,341504992.0,558,366.0
2018-01-06,11214619.2991,735,1472325241.92,14.87,637020992.0,659,1342.53068065
2018-01-07,49042436.0447,553,2254162147.6,22.77,258050000.0,538,1688.96475
2018-01-08,17953750.7787,469,1846702116.29,18.65,296617984.0,447,1357.1605
2018-01-09,3932851.7315,558,1799270385.07,18.17,194750000.0,531,721.387735805
2018-01-10,2829796.33699,460,1753618608.59,17.71,146582000.0,451,708.4
2018-01-11,5290178.03519,583,1739899227.56,17.57,389228000.0,575,848.2796
2018-01-12,3551772.65336,611,2126468155.44,21.48,387537984.0,610,974.730848672
2018-01-13,4645540.84571,508,2213402099.17,22.35,181676000.0,500,657.022926421
2018-01-14,1944108.18956,414,2202775250.22,22.25,129239000.0,436,562.523530901
2018-01-15,131315861.971,539,2059986067.73,20.8,244154000.0,534,1028.85051942
2018-01-16,13199526.8204,631,1943910689.91,19.63,399951008.0,618,1139.708282
2018-01-17,5673998.38908,540,1348874583.44,13.62,299411008.0,529,738.284806575
2018-01-18,5489283.62367,663,1410989022.79,14.25,204899008.0,642,794.703915292
2018-01-19,19997671.5666,440,1416947242.84,14.31,139882000.0,450,615.168372485
2018-01-20,2961881.88985,446,1488207995.73,15.03,156744992.0,445,518.4019845
2018-01-21,4353920.14743,428,1608783095.95,16.25,141562000.0,421,1141.59800617
2018-01-22,1515434.69428,310,1406495924.43,14.2,138026000.0,300,557.35
2018-01-23,3112704.31456,351,1287526166.31,13.0,91706200.0,328,741.30041401
2018-01-24,2466461.4132,292,1305870097.24,13.19,105736000.0,278,610.669578584
