date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2018-11-09,,,,0.0,88.3,2585660.0,,,,,,,,,
2018-11-10,,,,0.0,70.27,4748070.0,,,,,,,,,
2018-11-11,,,,0.0,87.7,8902820.0,,,,,,,,,
2018-11-12,,,,0.0,116.45,10779600.0,,,,,,,,,
2018-11-13,,,,0.0,109.9,20708000.0,,,,,,,,,
2018-11-14,,,,0.0,205.76,36795500.0,,,,,,,,,
2018-11-15,,,,0.0,176.28,40105900.0,,,,,,,,,
2018-11-16,16761606.8353,13773473.6975,555158,0.0,94.47,180605000.0,2037.5,2.59483108,10399,5.43624697351e+11,561420,0.079883832,5e-06,205034760,163
2018-11-17,57556195.9998,50689805.6711,1922573,0.0,123.29,200816000.0,1575.0,6.09712892,8839,6.10465038784e+11,1050018,0.0252423946,1.92e-06,571376186,126
2018-11-18,23700444.4591,20684769.8714,4421110,0.0,130.29,83486800.0,1600.0,9.38975284,9351,4.94665594814e+11,831452,0.0007113834,1.92e-06,927828225,128
2018-11-19,38840843.0395,32268732.1544,2941899,0.0,105.84,97310700.0,1462.5,6.00705615,478646,4.52514477609e+11,778549,0.003381588,1.92e-06,590618106,117
2018-11-20,26390785.5472,22498371.5609,1626675,0.0,71.65,124675000.0,2187.5,3.42311661,534155,3.38370640298e+11,197413,0.0017303475,1.92e-06,328764633,175
2018-11-21,9401779.86557,8551971.62708,106737,0.0,51.12,56414700.0,1887.5,0.38921318,7884,5.49216527139e+11,12716,0.0002791152,1.92e-06,21803747,151
2018-11-22,17194446.3531,15677746.9106,4214,0.0,50.72,32667900.0,1612.5,0.23537907,20008,5.49610279198e+11,6863,7.1536360384,3.79e-06,9201093,129
2018-11-23,36387503.597,34916167.0565,6916,0.0,42.5,118574000.0,1500.0,0.10999306,7997,4.70377665163e+11,3011,0.19125,2.27e-06,2383037,120
2018-11-24,11263734.4597,7333591.7107,7546,0.0,52.82,172732000.0,1937.5,0.1008769,13287,3.82584239985e+11,4843,5.9933396168,1.92e-06,2923933,155
2018-11-25,61825146.1401,32319068.1717,7230,0.0,60.28,379158000.0,1275.0,0.12871272,12630,3.84459861196e+11,4738,20.00996107,1.92e-06,3800770,102
2018-11-26,38725646.5106,31329203.8022,9331,1550943724.45,88.74,589274000.0,1225.0,0.14569342,15613,2.43427311518e+11,4004,0.53244,1.92e-06,4222413,98
2018-11-27,37445265.2406,34003727.9212,5127,1982436013.08,113.42,296211000.0,1525.0,0.26022885,14162,1.56380061447e+11,3963,61.6365235962,3.74e-06,3362974,122
2018-11-28,32762342.6158,28449745.8848,5683,1583777454.72,90.62,308722000.0,1712.5,0.55006588,14164,1.23502032436e+11,10002,27.1395182834,2.65e-06,3864658,137
2018-11-29,21786069.7588,18842111.4699,3599,1711588304.08,97.93,130600465.0,2200.0,0.38563815,11235,1.66077776739e+11,2942,97.8318809951,3.74e-06,2635957,176
2018-11-30,112626478.229,77631953.1296,3957,1700469855.97,97.29,166060949.0,1887.5,1.5961827,75255,1.9733488621e+11,4031,104.023811575,3.9e-06,13971701,151
2018-12-01,43796120.4835,37906131.444,3729,1662259536.25,95.11,75286999.0,1712.5,0.29558204,9315,2.13270231699e+11,3629,1.7161134806,3.74e-06,1927428,137
2018-12-02,80575114.1847,57508564.2357,2555,1625470978.5,93.0,108434556.0,1925.0,0.23241765,7154,1.89100341285e+11,2091,185.99977959,3.77e-06,1456843,154
2018-12-03,106309231.039,69593579.0716,2578,1745720476.92,99.88,79018303.0,1737.5,0.1858332,12722,2.41732387817e+11,9403,57.930060408,3.81e-06,1913573,139
2018-12-04,103158111.456,69064094.7879,3160,1648535460.92,94.32,56754945.0,1612.5,0.21049245,7894,2.0395844151e+11,3745,44.2834880616,3.87e-06,1876885,129
2018-12-05,147720487.504,90672517.2578,3497,1576871184.07,90.22,75407123.0,1887.5,0.24282662,7854,1.87051062296e+11,4054,90.2191808024,3.74e-06,1893082,151
2018-12-06,330478755.831,199314281.037,4182,1505927879.22,86.16,194059088.0,1787.5,0.36625132,10231,2.13756147748e+11,6132,129.199222195,3.79e-06,2589238,143
2018-12-07,949912001.58,577870752.535,4248,1809285240.78,103.52,217760983.0,1687.5,0.61072391,10515,1.85450350584e+11,37519,517.597060032,3.85e-06,3712689,135
2018-12-08,403174489.773,250491967.944,3224,1814032992.22,103.79,76137934.0,1775.0,0.20002163,7171,1.78289786444e+11,3618,72.6403822497,3.34e-06,1673900,142
