date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2017-11-13,,,,0.0,277.0,45916500.0,,,,,,,,,
2017-11-14,,,,0.0,253.21,39340400.0,,,,,,,,,
2017-11-15,,,,0.0,160.54,30094100.0,,,,,,,,,
2017-11-16,12852261.2203,10027698.1208,5090,0.0,161.87,27949200.0,1887.49999985,0.6987999,19159,3246568.7323,12155,161.866357925,2.278e-05,3893483,151
2017-11-17,18768115.9329,15343376.649,5059,0.0,138.75,24935100.0,1799.99999984,4.38828602,15309,2988552.06532,10599,141.323333812,2.622e-05,3483477,144
2017-11-18,17648111.525,13832488.7117,5993,0.0,153.07,24642900.0,1887.49999996,4.04755235,19909,2909324.81655,14657,221.1892114,3.42e-05,4628962,151
2017-11-19,17580055.2668,13834166.6133,4636,0.0,154.91,19503400.0,1699.99999996,0.9303063,15061,3489825.11507,8905,203.690816649,2.281e-05,3606402,136
2017-11-20,127876884.637,68331897.2685,14294,0.0,135.2,93826896.0,1912.5,6.3746348,56483,2724814.72349,14313,303.796978264,6.41e-05,11813794,153
2017-11-21,246197713.661,173878732.437,25481,0.0,250.85,370782016.0,2137.49999996,11.06228395,79937,5154291.53934,21929,501.978428449,2.575e-05,18881595,171
2017-11-22,181608640.722,166634699.286,11965,0.0,264.18,111451000.0,1812.5,8.03925191,76961,4973247.91154,18614,424.711003261,2.25e-05,19492626,145
2017-11-23,92479311.5736,66492052.6541,10930,0.0,241.97,154038000.0,1924.99999991,7.84789094,42397,4984716.07522,17349,370.852670929,2.27e-05,9843659,154
2017-11-24,381428274.724,239888000.238,22061,0.0,295.75,537472000.0,1962.5,7.2356648,73324,7122678.78789,28333,1010.84721374,5e-05,15743304,157
2017-11-25,381399562.437,162185695.591,13333,6569216429.29,394.04,208662000.0,1800.0,3.79134717,77333,6976159.47258,22373,755.789954816,1.93e-05,18831785,144
2017-11-26,440297512.649,145975313.67,15488,5931014450.99,355.72,141228000.0,1837.49999999,3.49975986,138157,6879050.52308,25657,233.284025317,3.42e-05,44424813,147
2017-11-27,413057362.076,175266768.205,11717,6172971083.39,370.18,129160000.0,1899.99999994,2.89751696,106627,6575275.03379,25877,370.825112686,1.94e-05,23114049,152
2017-11-28,183434497.771,119806036.169,9906,5993168317.02,359.36,101004000.0,1787.49999999,1.86211841,34301,7126543.14971,20109,564.188264352,1.93e-05,7357422,143
2017-11-29,162558604.487,114335610.113,9679,5494140507.04,329.4,252312992.0,1987.49999997,2.03023923,33053,6220226.41809,20289,544.629544956,1.93e-05,7238456,159
2017-11-30,94074259.5819,66298824.0126,5924,4909648769.62,294.33,151331008.0,1899.99999999,1.35363791,21405,5673668.72249,16045,442.086058789,1.93e-05,4767957,152
2017-12-01,115624049.213,92683380.1415,5667,5077292378.05,304.34,134598000.0,1924.99999999,1.21715588,21792,5816425.8783,17998,476.143341651,1.93e-05,4718321,154
2017-12-02,89979171.232,77035807.6347,5800,5197487305.97,311.51,88196704.0,1799.99999999,1.10406844,28753,6185241.48233,11702,368.614567794,1.93e-05,5416042,144
2017-12-03,82962747.3569,69541577.2248,6328,4986715210.88,298.84,252844000.0,1937.49999999,1.38404888,22188,5976406.49332,18275,358.585049088,1.93e-05,5183549,155
2017-12-04,99461008.8489,76501978.8722,5483,5373900184.92,322.01,130453000.0,1824.99999998,1.12656662,19912,6101224.25247,12430,447.484452021,1.93e-05,4334644,146
