date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-12,,4,,,,5,
2017-07-13,,1,,,,2,
2017-07-14,,16,,,,10,
2017-07-15,,6,,,,4,
2017-07-16,,8653,,,,8021,
2017-07-17,21742491.2222,4820,54709219.5383,0.161237,9750800.0,3579,806.185
2017-07-18,7569521.49696,1917,58127421.598,0.171311,7932920.0,1505,822.2928
2017-07-19,4243593.06222,1341,58941425.1993,0.17371,3096710.0,947,694.39756063
2017-07-20,2918760.13671,959,48809987.4562,0.143851,2553680.0,695,359.6275
2017-07-21,1655692.99388,634,52735456.794,0.15542,1299210.0,456,388.55
2017-07-22,832044.356482,991,51911274.3615,0.152991,1828370.0,457,152.838009
2017-07-23,1444508.59695,674,62768155.7705,0.184988,1297280.0,473,230.254854421
2017-07-24,2615070.89239,974,62441400.6054,0.184025,5167200.0,702,297.820620365
2017-07-25,1729506.37326,696,69006517.1875,0.203348,2490100.0,514,323.044184841
2017-07-26,1982234.45423,614,58935572.4167,0.173671,1086920.0,473,302.453331855
2017-07-27,2427048.4839,607,58979800.0,0.17347,1193380.0,498,208.047767663
2017-07-28,1170446.41367,748,55226880.0,0.162432,1140120.0,487,349.56404724
2017-07-29,836791.842857,359,52046520.0,0.153078,617954.0,271,187.125068485
2017-07-30,487265.608527,440,56897980.0,0.167347,601016.0,318,167.429836765
2017-07-31,778749.461983,495,55617880.0,0.163582,633192.0,397,176.57204662
2017-08-01,362180.97208,372,55378180.0,0.162877,965800.0,276,164.716144933
2017-08-02,855911.149186,461,58418120.0,0.171818,917333.0,364,229.132743487
2017-08-03,641004.858305,522,54895380.0,0.161457,860385.0,379,161.456192715
2017-08-04,1645079.12806,674,59011080.0,0.173562,1658350.0,491,213.305176032
2017-08-05,1128732.16071,830,66318700.0,0.195055,2692140.0,602,195.054804945
2017-08-06,1503715.36618,1058,73802440.0,0.217066,1383270.0,501,216.848934
2017-08-07,1629674.23164,1173,70704700.0,0.207955,1543070.0,754,207.747045
2017-08-08,2097519.25455,763,67176860.0,0.197579,1775290.0,515,197.579
2017-08-09,560901.164637,624,69601060.0,0.204709,1663640.0,470,204.504291
2017-08-10,21861528.4118,5781,75757100.0,0.222815,51701100.0,3089,450.0863
2017-08-11,18976377.2553,6089,154268540.0,0.453731,71905400.0,3717,453.277269
2017-08-12,10116501.2417,2895,217032200.0,0.63833,30224400.0,1906,474.9111367
2017-08-13,6315738.0819,2565,191635560.0,0.563634,25452100.0,1631,514.1751165
2017-08-14,16001421.4967,3567,251244700.0,0.738955,23191200.0,1858,738.216045
2017-08-15,6945645.01463,1915,219216020.0,0.644753,11123900.0,1263,644.108247
2017-08-16,6633139.47553,1937,202020520.0,0.594178,11901600.0,1231,593.583822
2017-08-17,5859280.84136,2032,210596680.0,0.619402,11211700.0,1392,463.799206967
2017-08-18,5213907.95153,2014,194143740.0,0.571011,10102400.0,1271,465.265031867
2017-08-19,3119312.51137,1605,166665620.0,0.490193,9626780.0,1111,338.938390664
2017-08-20,7335543.97618,1893,188791120.0,0.555268,8170140.0,1106,554.712732
2017-08-21,5910354.6762,1655,190642420.0,0.560713,6230230.0,1061,504.6417
2017-08-22,2211062.7462,1305,167882480.0,0.493772,4403160.0,878,469.0834
2017-08-23,4152441.37919,1436,166230080.0,0.488912,7812220.0,1055,438.309608
2017-08-24,13933155.7139,1912,172506480.0,0.507372,8358530.0,1223,507.372
2017-08-25,2059017.54566,1082,180047000.0,0.52955,3269230.0,801,297.998042337
2017-08-26,2422347.70593,1174,171569780.0,0.504617,3825960.0,895,252.3085
2017-08-27,2396549.8445,1209,173955220.0,0.511633,3202900.0,858,460.4697
2017-08-28,2883416.80676,1321,175040160.0,0.514824,5596950.0,949,513.279528
2017-08-29,7933187.90572,1271,180190820.0,0.529973,6538250.0,947,270.250717082
2017-08-30,4472388.21969,1511,183043080.0,0.538362,4372520.0,1129,424.869454954
2017-08-31,5080254.62155,1560,175619860.0,0.516529,5411070.0,1175,309.9174
2017-09-01,3109225.63783,1591,176971020.0,0.520503,5070740.0,1162,416.590806143
2017-09-02,3173515.50181,1404,166577220.0,0.489933,4603280.0,980,420.071124631
2017-09-03,1592216.87671,1086,149919260.0,0.440939,2665590.0,766,288.537058352
2017-09-04,3199239.48096,1839,147842880.0,0.434832,5168010.0,1264,434.397168
2017-09-05,3539780.88795,1512,128046380.0,0.376607,4372530.0,1077,373.02546743
2017-09-06,2028932.85041,1230,144458520.0,0.424878,3002330.0,987,256.737719458
2017-09-07,2752711.55052,1275,150332020.0,0.442153,2327450.0,934,265.28737847
2017-09-08,3029881.03409,1588,146947320.0,0.432198,3212060.0,1188,309.938434837
2017-09-09,1564899.47355,1217,130275080.0,0.383162,1723970.0,932,216.744502116
2017-09-10,13354997.7732,4299,136419220.0,0.401233,24241000.0,2482,397.22067
2017-09-11,3987527.95603,1680,170101660.0,0.500299,8713800.0,1150,400.2392
2017-09-12,2651116.68794,1201,154959760.0,0.455764,5117500.0,935,232.482992727
2017-09-13,2087417.57651,1203,143808104.275,0.422965,3486050.0,917,281.69469
2017-09-14,1840351.26022,1207,134591723.874,0.395858,3020930.0,913,198.146887962
2017-09-15,4376131.19515,1589,106014043.522,0.311806,2980950.0,1249,155.903
2017-09-16,1438436.09025,1219,122033483.997,0.358922,1522100.0,975,150.74724
2017-09-17,1297710.25841,1022,122520703.933,0.360355,1393970.0,815,170.04357662
2017-09-18,3929036.00848,1522,124023926.557,0.364669,3767800.0,1107,217.707393
2017-09-19,1521112.2796,1139,144314972.884,0.424331,1441530.0,941,236.41601665
2017-09-20,1188529.39895,932,132597847.593,0.389879,968362.0,764,230.2235495
2017-09-21,2395578.65138,1087,128196273.584,0.376937,1596430.0,900,141.230355358
2017-09-22,799791.752766,837,111011020.7,0.326407,1159450.0,686,112.563300297
2017-09-23,601620.067521,775,115443883.808,0.339441,932345.0,655,103.298722425
2017-09-24,639828.436515,708,119216613.604,0.350534,915894.0,621,140.2136
2017-09-25,920516.415675,976,117507801.261,0.345408,2400050.0,797,160.299313793
2017-09-26,1259550.47324,868,138064386.175,0.405833,2015270.0,740,165.55145569
2017-09-27,2237664.01865,1116,129729146.4,0.381332,3435760.0,914,150.240799409
2017-09-28,2609941.47753,1368,147990401.793,0.43501,4003030.0,1039,338.062214732
2017-09-29,2180476.7847,824,142657426.588,0.419334,1794850.0,708,156.774575257
2017-09-30,2328849.97098,912,134447720.4,0.395202,1742710.0,752,196.415394
2017-10-01,2588555.34943,799,137727928.592,0.404844,1352750.0,700,144.851491418
2017-10-02,1315736.97339,907,132203421.205,0.388605,1274070.0,793,144.426514344
2017-10-03,1579108.77871,875,127992424.978,0.376227,1683960.0,761,125.920264696
2017-10-04,1008619.43982,789,121478615.802,0.35708,1445990.0,702,123.863545061
2017-10-05,740160.360392,891,124112444.604,0.364822,916245.0,823,116.396411217
2017-10-06,1157525.61927,882,121541213.004,0.357264,1150200.0,784,106.805439485
2017-10-07,891176.672262,897,119060814.184,0.349973,1188570.0,797,104.9919
2017-10-08,1821652.35271,1306,114253788.6,0.335843,2174650.0,1129,195.675322554
2017-10-09,1458750.04416,1194,101001637.392,0.296889,2143930.0,1057,153.88082722
2017-10-10,1269641.70502,1233,98112318.8517,0.288396,2210750.0,1053,144.198
2017-10-11,1250083.67411,1016,113260744.397,0.332924,1879520.0,915,115.524628
2017-10-12,1431940.53564,1115,111797884.604,0.328624,2374970.0,965,156.0964
