date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-12-18,,161,,,,32,
2017-12-19,,598,,,,81,
2017-12-20,,511,,,,49,
2017-12-21,,301,,,,54,
2017-12-22,,2141,,,,100,
2017-12-23,,630,,,,108,
2017-12-24,,740,,,,109,
2017-12-25,,729,,,,257,
2017-12-26,,434,,,,58,
2017-12-27,3657719.68351,389,0.0,0.915159,324695.0,62,3660.636
2017-12-28,4905594.78592,603,0.0,0.968816,342596.0,52,3875.264
2017-12-29,1600423.48892,293,0.0,0.992185,107929.0,45,3021.07344798
2017-12-30,2603851.40592,399,3441859.42129,0.999102,157220.0,44,3996.408
2017-12-31,1864795.30802,209,3399923.67021,0.986929,435465.0,55,3947.716
2018-01-01,1822313.92599,254,3439640.91747,0.998458,187507.0,42,3993.832
2018-01-02,4563243.97762,600,3417007.26499,0.991888,328776.0,75,3967.552
2018-01-03,2877496.95909,385,3407268.0848,0.989061,457807.0,49,3956.244
2018-01-04,4250309.92363,453,3431058.78197,0.997557,749044.0,67,3990.228
2018-01-05,4343320.29307,451,3479402.12491,1.01,892893.0,67,4040.0
2018-01-06,1457793.31268,156,3442357.40086,0.997491,798358.0,45,3989.964
2018-01-07,4213092.84415,429,3444952.98008,1.0,571177.0,56,6356.0
2018-01-08,5962944.48804,736,3441221.30033,0.998917,647729.0,82,3995.668
2018-01-09,4628212.17109,380,3423111.60386,0.99366,1190990.0,43,8981.30123796
2018-01-10,3301903.95659,436,3442027.48489,0.999151,1403670.0,46,7993.208
2018-01-11,7497568.65683,416,2696051.39159,0.778917,2396900.0,42,18694.008
2018-01-12,8335506.79402,256,3479402.07075,1.01,220227.0,40,40400.0
2018-01-13,9991273.06795,384,3426917.64768,0.996631,977432.0,66,23919.144
2018-01-14,9694329.83679,310,9448914.50919,1.02,539692.0,36,40800.0
2018-01-15,7907571.47986,242,9248254.46371,0.998339,437562.0,40,39933.56
2018-01-16,25846252.6791,888,9237184.33553,0.997144,1028360.0,71,23931.456
2018-01-17,21943923.0666,877,8764264.63211,0.975613,732904.0,99,23414.712
2018-01-18,10435069.7606,370,9446209.21919,0.998447,698147.0,76,33098.2739529
2018-01-19,8935554.12954,340,9433498.8585,0.996044,452323.0,73,39841.76
2018-01-20,7116434.26505,316,9599612.6744,1.0,385589.0,69,20765.62708
2018-01-21,13857125.2547,451,10028991.0,1.0,460369.0,64,40000.0
2018-01-22,15403111.853,513,9716123.0,1.0,717274.0,74,40000.0
2018-01-23,9027460.09286,379,9728795.52241,0.994534,470957.0,99,23868.816
2018-01-24,7181239.02389,328,9795184.56152,0.998488,446502.0,81,23963.712
2018-01-25,9976025.6199,368,9738373.41176,1.04,849223.0,72,41600.0
2018-01-26,6409308.83695,335,9561579.02913,1.02,722646.0,72,8362.5006
2018-01-27,6164739.79183,255,9647274.42453,1.03,291649.0,54,29965.0156464
2018-01-28,9824105.60948,447,9975670.09524,1.06,650793.0,71,21200.636
