date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2014-01-10,,,0,,,,4248000.0,0.0,59,0.000244140625,0,,,11218,59
2014-01-11,,,6,,,,90576000.0,0.54,290,0.000262558415778,6,,0.0,274266,1258
2014-01-12,,,2365,,,,31184000.0,3.66,3700,0.927893755832,2345,,0.0,891579,1522
2014-01-13,,,6286,,,,22656000.0,5.00000002,7175,4.57664853247,6263,,0.0,1892876,1416
2014-01-14,,,8606,,,,23552000.0,8.76,9611,6.17734192021,8562,,0.0,2522440,1472
2014-01-15,,,6187,,,,12160000.0,10.3390368,7123,8.83333755943,6158,,0.0,1957150,1488
2014-01-16,,,5629,,,,11272000.0,10.8201,6437,10.139620151,5599,,0.0,1810118,1409
2014-01-17,,,6250,,,,11920000.0,19.0401,7268,12.3599573991,6237,,0.0,2028079,1490
2014-01-18,,,9221,,,,11312000.0,21.50492317,10274,15.2810158609,9196,,0.0,2627194,1414
2014-01-19,,,14605,,,,12120000.0,72.02139797,15987,18.6538315189,14509,,0.0,4499740,1515
2014-01-20,,,12180,,,,10440000.0,40.97361633,13750,19.1711254107,12053,,0.0,4088364,1305
2014-01-21,,,13006,,,,11400000.0,38.73024572,14538,10.0829886954,12944,,0.0,4034164,1425
2014-01-22,,,14876,,,,11448000.0,46.92,16061,10.7719748353,14827,,0.0,4443950,1431
2014-01-23,,,16246,,,,12064000.0,60.50298813,17691,14.1491489582,16131,,0.0,5459267,1508
2014-01-24,,,14846,,,,11448000.0,52.31190942,16323,23.5701781384,14759,,0.0,4884995,1431
2014-01-25,,,13893,,,,11728000.0,50.74319952,15555,22.3774700085,13823,,0.0,4601741,1466
2014-01-26,,,14273,,,,11024000.0,49.36861888,15770,22.8990186822,14192,,0.0,4635464,1378
2014-01-27,,,12040,,,,11504000.0,47.12460878,13443,18.2562338667,11996,,0.0,3729389,1438
2014-01-28,,,9323,,,,11120000.0,42.88065545,10779,20.2543668064,9229,,0.0,3244427,1390
2014-01-29,,,8935,,,,11856000.0,24.90907026,10397,18.034762522,8878,,0.0,3041331,1482
2014-01-30,,,6422,,,,10776000.0,23.99996983,7662,17.8169740594,6347,,0.0,2488166,1347
2014-01-31,,,5696,,,,11760000.0,21.6733168,6892,16.9814668579,5641,,0.0,2017093,1470
2014-02-01,,,5762,,,,11104000.0,29.76033283,6992,19.0066230297,5716,,0.0,2691865,1388
2014-02-02,,,5867,,,,11024000.0,18.89537539,7077,17.5144810493,5822,,0.0,2203034,1378
2014-02-03,,,7357,,,,11536000.0,27.25012949,8641,14.766582112,7303,,0.0,2547428,1442
2014-02-04,,,5980,,,,11440000.0,29.1092844,7151,13.6014190779,5936,,0.0,2458323,1430
2014-02-05,,,5229,,,,11112000.0,20.67096835,6360,14.0038450367,5176,,0.0,2215959,1389
2014-02-06,128172.764142,99080.9479256,6026,647525.886131,0.001489,27811.0,12040000.0,41.28482202,7677,16.1338010044,5895,7.445,0.0,3299804,1505
2014-02-07,112984.547968,77542.7701332,8339,616281.937394,0.001378,28051.0,11600000.0,58.09597741,10117,20.8864380549,8194,6.25438364997,0.0,3159370,1450
2014-02-08,91120.2064885,56962.4014851,9687,531997.409136,0.001161,13517.0,10720000.0,41.11972317,11274,19.9371507662,9584,5.28910162903,0.0,3173806,1340
2014-02-09,55753.8173008,32384.896196,8516,470855.415584,0.001002,10833.0,11600000.0,31.56536218,10043,17.6248740449,8398,4.39643040581,0.0,2911938,1450
2014-02-10,41764.9368282,24042.9096343,6627,441198.032059,0.000922,11933.0,8848000.0,21.22549271,7999,18.2537765528,6522,4.52957787246,0.0,2230920,1106
2014-02-11,32458.0426723,19530.7195155,5983,397162.512195,0.000814,9887.0,9088000.0,21.3509783,7225,12.3145239954,5908,3.93115479817,0.0,2121104,1136
2014-02-12,46130.8209536,31327.6417708,7603,373776.889535,0.00075,6811.0,10992000.0,33.97024987,8920,11.30645757,7562,3.35560168004,0.0,2793965,1374
2014-02-13,43697.3371025,35720.5823176,4866,354702.364641,0.000696,12022.0,10640000.0,20.16315742,6382,12.2942166141,4802,3.74174064476,0.0,2145663,1330
2014-02-14,32871.9069928,23912.4104116,5218,374363.181818,0.00072,5174.0,10944000.0,15.07988822,6472,15.7049642007,5141,3.90742838008,0.0,1874900,1368
2014-02-15,34649.6101034,29150.4901953,4081,372072.913043,0.000702,8748.0,10120000.0,17.17973035,5491,16.9619370841,4709,3.46684358028,0.0,1865653,1265
