date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-12-18,,2,,,,3,
2017-12-19,,42,,,,41,
2017-12-20,,71,,,,72,
2017-12-21,314902180.905,1351,0.0,1.1,83836704.0,907,33246.4
2017-12-22,44224296.6545,291,0.0,1.12,47206300.0,290,14505.12
2017-12-23,13699331.4485,192,0.0,0.814893,146587008.0,194,4011.77528151
2017-12-24,20612502.8475,229,0.0,1.11,109527000.0,220,5044.95
2017-12-25,18789793.4554,259,0.0,1.04,141999008.0,228,5652.4
2017-12-26,18698431.5792,363,0.0,1.07,96674400.0,246,3776.03
2017-12-27,13364522.8497,362,289787155.963,1.16,101350000.0,267,4619.12
2017-12-28,19988337.3811,272,272500000.0,1.09,83430600.0,214,4694.63
2017-12-29,8792335.65874,278,245672311.827,0.979257,104384000.0,201,2454.997299
2017-12-30,7334006.97262,286,252500000.0,1.01,73298200.0,214,3027.97798
2017-12-31,1846966.96491,233,220021089.675,0.878205,125966000.0,170,2110.84651236
2018-01-01,6585532.5967,258,247530299.029,0.993784,102594000.0,203,4960.472836
2018-01-02,17892677.9739,342,260361523.81,1.04,94632304.0,261,3883.36
2018-01-03,13530246.1702,460,262673177.083,1.05,112121000.0,310,3152.322075
2018-01-04,19072284.4654,794,356835792.35,1.43,175774000.0,442,2961.985455
2018-01-05,12602265.3779,16909,444131575.758,1.78,145088000.0,16322,1.78
2018-01-06,7839523.28939,495,412304166.667,1.65,142120000.0,415,2553.39644984
2018-01-07,24129557.317,911,494591625.0,1.98,257380992.0,568,3847.14
2018-01-08,14621964.7473,554,586159166.667,2.34,193158000.0,425,2335.32
2018-01-09,11343665.6839,482,542488883.197,2.17,190280992.0,383,2569.714
2018-01-10,12552230.2814,527,611108557.692,2.44,144928000.0,433,1890.268
2018-01-11,4445608.93532,351,519029850.746,2.08,125951000.0,319,2080.621296
2018-01-12,8900197.71765,584,505061131.579,2.02,92879000.0,395,3151.69995
2018-01-13,10791899.7681,497,474727459.016,1.9,110863000.0,374,2850.0
2018-01-14,9557567.73808,390,455016347.305,1.82,87942000.0,333,2578.71068
2018-01-15,9088255.15432,451,415335661.765,1.66,87526600.0,353,3210.03496
2018-01-16,10590599.6332,442,339822201.835,1.36,81588400.0,371,2314.1692
2018-01-17,5039861.92092,379,269738372.093,1.08,77727200.0,358,1597.27464
2018-01-18,5005544.79752,404,324634963.768,1.3,100792000.0,328,1526.38915
2018-01-19,3481305.26381,375,341974693.252,1.37,110191000.0,331,1458.40747
2018-01-20,5171020.84804,436,406008409.091,1.62,73716000.0,344,2371.41918
2018-01-21,10021737.5071,463,494235569.62,1.98,98559504.0,329,3395.6999998
2018-01-22,5904591.31996,352,401074125.874,1.6,90484304.0,289,2035.392
2018-01-23,2223794.676,256,356917500.0,1.43,95158000.0,215,1466.162555
2018-01-24,17430745.7006,695,354288027.778,1.42,176700992.0,435,3233.34
2018-01-25,16667230.8209,1248,447714956.332,1.79,306731008.0,632,3828.184395
2018-01-26,12162099.0311,573,572393169.856,2.29,200738000.0,366,3407.32764
2018-01-27,4415943.85697,471,523164512.821,2.09,149428000.0,298,1550.78
2018-01-28,5545732.16758,428,493029623.116,1.97,147646000.0,280,3881.491
2018-01-29,13115086.0264,412,496407869.048,1.99,146344992.0,306,2844.1824061
2018-01-30,8469889.26876,439,517416724.138,2.07,131353000.0,309,2645.147844
2018-01-31,40908422.1849,386,436595531.088,1.75,175035008.0,283,2147.4845
2018-02-01,8278894.64676,847,486055588.235,1.94,185272000.0,605,1320.41444
2018-02-02,10872486.4055,439,424494811.321,1.7,93876096.0,327,4249.99999983
2018-02-03,6275063.27439,333,397970659.509,1.59,75581904.0,245,1749.157092
2018-02-04,3934316.07441,348,406221798.561,1.63,49945300.0,254,2326.825
2018-02-05,7366006.91223,437,343018551.402,1.37,34179900.0,309,3458.38279
