date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-10-12,,6830,,,,6116,
2017-10-13,,3485,,,,3815,
2017-10-14,,1158,,,,1160,
2017-10-15,,618,,,,681,
2017-10-16,,562,,,,541,
2017-10-17,,459,,,,471,
2017-10-18,,375,,,,369,
2017-10-19,,322,,,,293,
2017-10-20,,292,,,,314,
2017-10-21,,167,,,,174,
2017-10-22,,195,,,,235,
2017-10-23,,168,,,,194,
2017-10-24,,198,,,,206,
2017-10-25,,317,,,,332,
2017-10-26,,182,,,,205,
2017-10-27,,161,,,,187,
2017-10-28,,113,,,,127,
2017-10-29,,129,,,,144,
2017-10-30,,151,,,,171,
2017-10-31,,121,,,,155,
2017-11-01,,241,,,,264,
2017-11-02,,196,,,,214,
2017-11-03,,121,,,,145,
2017-11-04,,63,,,,73,
2017-11-05,,126,,,,141,
2017-11-06,,103,,,,121,
2017-11-07,,144,,,,168,
2017-11-08,,139,,,,154,
2017-11-09,,179,,,,183,
2017-11-10,,144,,,,166,
2017-11-11,,76,,,,104,
2017-11-12,,99,,,,101,
2017-11-13,,123,,,,147,
2017-11-14,,114,,,,128,
2017-11-15,,105,,,,117,
2017-11-16,,105,,,,127,
2017-11-17,,138,,,,133,
2017-11-18,,101,,,,125,
2017-11-19,,128,,,,150,
2017-11-20,,110,,,,123,
2017-11-21,,93,,,,129,
2017-11-22,,573,,,,677,
2017-11-23,,205,,,,260,
2017-11-24,,122,,,,146,
2017-11-25,,131,,,,141,
2017-11-26,,164,,,,181,
2017-11-27,,111,,,,131,
2017-11-28,,164,,,,195,
2017-11-29,,160,,,,187,
2017-11-30,,3897,,,,2480,
2017-12-01,,535,,,,407,
2017-12-02,,276,,,,238,
2017-12-03,,351,,,,324,
2017-12-04,,341,,,,255,
2017-12-05,,147,,,,140,
2017-12-06,,281,,,,174,
2017-12-07,,275,,,,200,
2017-12-08,,667,,,,566,
2017-12-09,,1556,,,,1508,
2017-12-10,,212,,,,194,
2017-12-11,,366,,,,281,
2017-12-12,,322,,,,225,
2017-12-13,,301,,,,208,
2017-12-14,,291,,,,209,
2017-12-15,,273,,,,185,
2017-12-16,,316,,,,215,
2017-12-17,,507,,,,352,
2017-12-18,,450,,,,329,
2017-12-19,,526,,,,331,
2017-12-20,,392,,,,254,
2017-12-21,,566,,,,451,
2017-12-22,,340,,,,250,
2017-12-23,,469,,,,306,
2017-12-24,,560,,,,326,
2017-12-25,,1451,,,,945,
2017-12-26,,959,,,,549,
2017-12-27,,896,,,,535,
2017-12-28,,564,,,,449,
2017-12-29,,488,,,,401,
2017-12-30,,418,,,,318,
2017-12-31,,405,,,,328,
2018-01-01,,485,,,,353,
2018-01-02,,1610,,,,1073,
2018-01-03,,1768,,,,1178,
2018-01-04,,565,,,,577,
2018-01-05,,375,,,,430,
2018-01-06,,985,,,,661,
2018-01-07,,983,,,,688,
2018-01-08,,1212,,,,677,
2018-01-09,,829,,,,652,
