date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),medianTxValue(USD),activeAddresses,paymentCount,blockCount
2017-06-20,,1,,,,,2,1,
2017-06-21,,,,,,,,,
2017-06-22,,,,,,,,,
2017-06-23,,,,,,,,,
2017-06-24,,,,,,,,,
2017-06-25,,,,,,,,,
2017-06-26,,,,,,,,,
2017-06-27,,,,,,,,,
2017-06-28,,,,,,,,,
2017-06-29,,,,,,,,,
2017-06-30,,,,,,,,,
2017-07-01,,,0.0,1.03,13613000.0,,,,
2017-07-02,43805833.2079,13430,0.0,0.996521,320452000.0,303.374325532,8274,13430,
2017-07-03,115767930.243,25440,435552942.279,2.72,414950016.0,248.805591061,12510,25440,
2017-07-04,64268039.193,15360,669328232.552,4.1,218559008.0,66.1009344418,7174,15360,
2017-07-05,77512692.3777,13733,560701592.64,3.36,124339000.0,3.36,5758,13733,
2017-07-06,96279511.9036,20241,509157190.521,3.01,177463008.0,31.239285,9250,20241,
2017-07-07,47604785.3616,11415,575649024.304,3.35,96596496.0,60.1149599405,5357,11415,
2017-07-08,82262221.4372,8490,532857517.274,2.82,151162000.0,56.4,3824,8490,
2017-07-09,88548363.1793,8924,536670870.742,2.6,87525104.0,80.6,4472,8924,
2017-07-10,42827979.9981,11608,469612058.607,2.25,79608800.0,292.5,7129,11608,
2017-07-11,66540266.169,13162,375736916.982,1.79,111023000.0,197.035685812,8069,13162,
2017-07-12,86440534.9106,18155,349336241.546,1.64,104621000.0,307.9798968,11870,18155,
2017-07-13,24739184.2788,8664,446072451.126,2.08,51203900.0,83.2,4446,8664,
2017-07-14,26216280.8565,10261,376673103.135,1.73,41025200.0,112.171315707,4836,10261,
2017-07-15,18677267.6436,7194,342147383.923,1.55,34208800.0,84.3295945,3551,7194,
2017-07-16,14510090.0731,7227,287649603.552,1.29,30802800.0,11.61,2884,7227,
2017-07-17,12352143.679,7914,279980094.156,1.25,62295100.0,0.625,2809,7914,
2017-07-18,18354027.8538,8893,347780331.541,1.54,58108000.0,0.0,2850,8893,
