date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-06-27,,,0.0,0.01741,8783.0,,
2017-06-28,,,0.0,0.014053,28676.0,,
2017-06-29,,,0.0,0.018567,46736.0,,
2017-06-30,,,0.0,0.020367,177531.0,,
2017-07-01,,,0.0,0.337854,109529.0,,
2017-07-02,,,73652585.94,0.019183,96684.0,,
2017-07-03,,,345600200.691,0.090013,96913.0,,
2017-07-04,,,94387402.5803,0.024583,323348.0,,
2017-07-05,,,72953641.1197,0.019001,4821760.0,,
2017-07-06,,,87841020.4852,0.022878,3178290.0,,
2017-07-07,645343305.774,5971,76429230.9853,0.019907,1493760.0,2805,647.694152
2017-07-08,,,51650266.0982,0.013453,825656.0,,
2017-07-09,,,49648507.9222,0.012931,1276830.0,,
2017-07-10,,,47413923.6886,0.012349,935060.0,,
2017-07-11,,,46881046.1623,0.01221,2749220.0,,
2017-07-12,,,59454419.82,0.015485,1315430.0,,
2017-07-13,,,69089779.8062,0.017995,826019.0,,
2017-07-14,,,58158606.7455,0.015147,363148.0,,
2017-07-15,510577.929505,214,49267992.5801,0.012832,292390.0,131,360.40247128
2017-07-16,804334.725187,329,39990470.563,0.010416,424293.0,202,176.2199712
2017-07-17,633890.6047,216,42267010.4832,0.011009,580590.0,160,164.584384865
2017-07-18,730796.249256,218,49527621.5324,0.0129,557570.0,159,230.1773058
2017-07-19,621982.769944,214,50939490.5744,0.013267,594138.0,165,313.106785011
2017-07-20,4149286.21413,194,43985241.3627,0.011456,518285.0,142,195.515397658
2017-07-21,426078.93389,167,47692962.5865,0.012422,734587.0,129,235.872725723
2017-07-22,412454.475767,195,42792263.839,0.011145,604149.0,142,100.305
2017-07-23,605716.471502,216,44792485.8869,0.011666,714335.0,175,129.013598415
2017-07-24,785778.527298,285,52136868.0395,0.013579,1074080.0,204,196.141105076
2017-07-25,4758936.3586,205,50292671.1033,0.013099,541693.0,154,209.58386901
2017-07-26,639742.690729,193,42542054.819,0.01108,513288.0,152,207.943977591
2017-07-27,587238.338952,204,40848793.1954,0.010639,431993.0,144,309.5693664
2017-07-28,846510.505633,218,41883963.0523,0.010909,658726.0,137,183.568378989
2017-07-29,526551.999594,207,43259979.944,0.011267,211393.0,139,212.056207
2017-07-30,136206.447728,96,44399947.1846,0.011564,142368.0,77,457.421983544
2017-07-31,399039.153977,189,43735704.0854,0.011391,442097.0,115,462.62431846
2017-08-01,510049.45188,133,44407943.9481,0.011566,600151.0,112,209.641019827
2017-08-02,442612.112163,138,47908037.084,0.012478,335031.0,106,143.996021815
2017-08-03,146262.460792,173,46289615.0725,0.012056,307817.0,119,108.504
2017-08-04,1012889.36037,184,50381436.3563,0.013122,572205.0,149,269.957447793
2017-08-05,532079.445972,229,50263095.7291,0.013091,523661.0,194,197.996454842
2017-08-06,675636.827223,345,56400439.4147,0.01469,1868120.0,221,456.6531931
2017-08-07,1661251.94022,298,68491790.6027,0.017839,897438.0,209,341.062232472
2017-08-08,381149.736706,347,65700895.2343,0.017112,953548.0,227,176.385499292
2017-08-09,252983.193622,238,75009250.6723,0.019536,566208.0,183,220.326235577
2017-08-10,1691881.53269,486,75859829.875,0.019758,2559630.0,348,245.414366514
2017-08-11,2907276.2538,816,102942438.921,0.026812,7417180.0,564,298.91344794
2017-08-12,1864333.5376,458,129038584.936,0.033608,2262110.0,329,244.118124117
2017-08-13,1107539.67154,354,103875291.19,0.027055,1878590.0,274,243.28376808
2017-08-14,1629597.07898,345,115523915.367,0.030088,1356670.0,241,168.291646744
2017-08-15,404546.245303,334,101652377.468,0.026476,989450.0,228,264.75986762
2017-08-16,1108193.84591,396,94058443.8283,0.024498,1100330.0,273,372.98205
2017-08-17,952637.279525,481,98831319.7564,0.025741,4157260.0,355,257.40974259
2017-08-18,540233.150223,316,126923677.898,0.033058,1399670.0,271,173.76483615
2017-08-19,829534.99895,285,115333262.573,0.030039,688178.0,230,150.195
2017-08-20,692872.409636,260,120097262.038,0.03128,820968.0,220,167.172641293
2017-08-21,1112011.03833,310,120045082.518,0.031266,933758.0,254,70.6954621787
