date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2016-11-11,,695,,,,559,
2016-11-12,,97,,,,51,
2016-11-13,,257,,,,117,
2016-11-14,,304,,,,142,
2016-11-15,,229,,,,109,
2016-11-16,,199,,,,119,
2016-11-17,,122,,,,79,
2016-11-18,98547.1275922,101,0.0,0.015051,7130.0,62,99.4244681448
2016-11-19,88549.6555502,76,0.0,0.013571,6058.0,52,90.586425
2016-11-20,102362.137173,58,0.0,0.015023,5520.0,36,27.8398251748
2016-11-21,155089.2579,87,0.0,0.014474,3502.0,38,31.2008259098
2016-11-22,217865.800901,99,0.0,0.013233,5432.0,50,330.825
2016-11-23,276644.344158,87,0.0,0.013517,3195.0,49,67.557966
2016-11-24,52537.5987778,25,0.0,0.010432,2005.0,26,83.435136
2016-11-25,46234.2313429,88,0.0,0.011455,2647.0,29,98.1125406504
2016-11-26,147299.697768,137,0.0,0.011125,4503.0,48,100.125
2016-11-27,101079.45574,84,0.0,0.01287,4344.0,50,516.031679239
2016-11-28,56346.2023495,46,0.0,0.012357,5409.0,29,118.511483666
2016-11-29,84828.555616,56,8018442.28011,0.011774,8551.0,36,161.041908054
2016-11-30,264742.373132,80,9032835.70762,0.013264,17847.0,36,49.74019896
2016-12-01,20341.8883946,65,9083767.8569,0.013339,8438.0,45,13.339
2016-12-02,64780.3564166,32,8778748.64625,0.012891,11623.0,29,267.977108948
2016-12-03,28179.8529127,27,8641528.18225,0.012689,8153.0,23,126.89
2016-12-04,61173.4448614,32,8609248.63846,0.012642,6976.0,29,189.63
2016-12-05,26401.1292722,31,8669092.02667,0.01273,10143.0,26,127.3
2016-12-06,44403.776245,40,7768456.42044,0.011407,9546.0,31,86.264278267
2016-12-07,64728.65314,54,8129044.13463,0.011937,11337.0,35,11.9310315
2016-12-08,137438.878405,36,6919998.96766,0.010161,18659.0,24,261.830741166
2016-12-09,6587.99325215,18,7070986.70761,0.010383,16687.0,20,103.806597159
2016-12-10,31733.3478011,43,6826001.40588,0.010023,7327.0,30,250.575
2016-12-11,17245.7007492,25,7505003.30435,0.01102,10554.0,20,427.70988198
2016-12-12,27252.8061538,35,7206993.7197,0.010583,12717.0,28,102.46639379
2016-12-13,51062.3180634,53,7880635.75738,0.011572,27719.0,39,78.7210884354
2016-12-14,131890.20892,51,7746859.27152,0.011376,16963.0,34,245.919098736
2016-12-15,51379.1521293,37,8820958.60954,0.012953,9187.0,33,143.836167406
2016-12-16,2349.37660365,14,7960658.3439,0.011689,10131.0,17,159.182850026
2016-12-17,20618.19,5,7886287.00419,0.01158,4715.0,10,1186.95
2016-12-18,20894.0524272,26,7963522.35423,0.011694,8249.0,23,36.54375
2016-12-19,33892.5380762,19,8256762.19105,0.012124,5513.0,21,1818.6
2016-12-20,16052.0687606,24,7291067.07091,0.010706,15231.0,28,435.067548481
2016-12-21,53669.3170644,32,8065189.17116,0.011843,11776.0,27,94.056231065
2016-12-22,39558.6713107,43,8203775.78412,0.012046,10742.0,39,415.12473475
2016-12-23,37965.2159038,28,8187227.08046,0.012022,7827.0,26,193.207803658
2016-12-24,1921.36182534,7,8152513.7614,0.011971,4192.0,7,52.2362491249
2016-12-25,5039.44431425,16,7173686.18595,0.010534,9295.0,14,9.63175065112
2016-12-26,7772.2341803,13,7804766.68434,0.011461,7226.0,15,25.38107216
2016-12-27,13159.9940308,54,7656583.86017,0.011243,9281.0,28,109.256140631
2016-12-28,51369.7202056,43,7897735.31502,0.011597,9808.0,32,245.62446
2016-12-29,21183.7807512,33,7258124.52513,0.010658,7877.0,24,252.14317217
2016-12-30,47256.5796207,59,7281348.73665,0.010692,16833.0,23,323.5538196
2016-12-31,13356.4063005,28,6996535.94287,0.010274,11473.0,24,157.914384644
2017-01-01,62845.6571537,38,6628139.46514,0.009733,22571.0,26,444.548998465
2017-01-02,50313.6770867,28,6722308.12734,0.009871,5705.0,27,74.6599596701
2017-01-03,44550.1501839,59,6717040.86177,0.009863,19084.0,39,158.518136
2017-01-04,25405.6714196,48,7339233.79684,0.010777,13233.0,38,54.2353704917
2017-01-05,20639.4824535,38,8581030.86876,0.0126,10133.0,26,169.3657512
2017-01-06,137957.342947,131,7374289.8825,0.010828,16558.0,63,194.398811457
2017-01-07,158349.232924,79,7754845.19909,0.011387,26106.0,42,40.6678571429
2017-01-08,207252.555562,113,8112470.09838,0.011912,22878.0,58,529.422222222
2017-01-09,159362.016036,106,8034056.10014,0.011797,17309.0,51,224.036827
2017-01-10,122444.958389,99,8511074.23469,0.012498,27855.0,61,249.935004
