date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2016-09-30,,,0.0,0.198937,14652.0,,
2016-10-01,,,0.0,0.267759,11963.0,,
2016-10-02,,,0.0,0.214882,8382.0,,
2016-10-03,,,0.0,0.146632,6347.0,,
2016-10-04,,,0.0,0.183616,19235.0,,
2016-10-05,,,0.0,0.338671,16673.0,,
2016-10-06,,,0.0,0.535299,9085.0,,
2016-10-07,,,0.0,0.4227,13930.0,,
2016-10-08,,,0.0,0.444486,7463.0,,
2016-10-09,,,0.0,0.34364,18183.0,,
2016-10-10,,,0.0,0.367009,7499.0,,
2016-10-11,,,0.0,0.278657,11722.0,,
2016-10-12,,,0.0,0.2211,8531.0,,
2016-10-13,,,0.0,0.241055,7915.0,,
2016-10-14,,,0.0,0.312134,5073.0,,
2016-10-15,,,0.0,0.233744,6558.0,,
2016-10-16,,,0.0,0.223679,6571.0,,
2016-10-17,,,0.0,0.275975,5968.0,,
2016-10-18,,,0.0,0.188626,7846.0,,
2016-10-19,,,0.0,0.185059,6795.0,,
2016-10-20,,,0.0,0.181,4673.0,,
2016-10-21,,,0.0,0.207384,3356.0,,
2016-10-22,,,0.0,0.220933,6967.0,,
2016-10-23,,,0.0,0.157829,2936.0,,
2016-10-24,53887200.0,1535,0.0,0.269436,6430.0,1530,49.3859647372
2016-10-25,4328571.9583,1700,39544197.0,0.454531,92887.0,989,237.312907755
2016-10-26,1115450.83628,952,16035492.0,0.184316,209377.0,569,54.92801116
2016-10-27,479431.788384,559,14711178.0,0.169094,172953.0,376,41.9142981597
2016-10-28,320845.686997,548,11972853.0,0.137619,108756.0,395,12.1250220264
2016-10-29,105443.291161,202,10779039.0,0.123897,97401.0,123,61.9485
2016-10-30,141629.011879,390,9899208.0,0.113784,75031.0,255,56.77764708
2016-10-31,123094.860704,184,10808967.0,0.124241,70203.0,88,44.1187342621
2016-11-01,79545.4493765,150,10605213.0,0.121899,160741.0,90,29.2070004
2016-11-02,122186.062561,145,11897946.0,0.136758,70062.0,85,94.636536
2016-11-03,110388.909496,196,11712723.0,0.134629,66036.0,127,20.0202267124
2016-11-04,46599.6288746,108,10888137.0,0.125151,48361.0,68,24.6672621
2016-11-05,31193.1079193,101,10539789.0,0.121147,40596.0,65,20.04619409
2016-11-06,48199.1932512,72,11103897.0,0.127631,46567.0,46,82.91292653
2016-11-07,53735.3067082,69,10193964.0,0.117172,46640.0,45,58.468828
2016-11-08,37737.3360027,126,10284096.0,0.118208,30534.0,80,67.74855104
2016-11-09,54978.72375,117,9418620.0,0.10826,71136.0,72,108.15174
2016-11-10,15083.6275488,57,9860493.0,0.113339,37158.0,44,46.12557283
2016-11-11,23442.0581285,118,9587313.0,0.110199,43878.0,83,14.14183767
2016-11-12,97911.7225049,219,10075296.0,0.115808,186628.0,160,20.4002408314
2016-11-13,227813.354141,271,15206382.0,0.174786,147178.0,143,174.786
2016-11-14,160122.852678,247,14333163.0,0.164749,132463.0,134,82.0344130665
2016-11-15,352284.219708,254,16030881.0,0.184263,149807.0,144,138.303129385
2016-11-16,148677.875786,131,17864232.0,0.205336,182937.0,87,108.859562103
2016-11-17,54883.6038888,112,14589726.0,0.167698,74009.0,51,15.9396949
2016-11-18,77253.4277774,93,14853162.0,0.170726,89012.0,60,170.555274
2016-11-19,57453.505867,94,15052653.0,0.173019,50540.0,60,114.090767218
2016-11-20,50156.2962568,91,14759724.0,0.169652,47422.0,43,14.7682042763
2016-11-21,71568.3902426,125,15158619.0,0.174237,117463.0,89,172.49463
2016-11-22,40944.1495879,74,15695148.0,0.180404,66930.0,57,168.000596089
2016-11-23,50456.955828,123,15566649.0,0.178927,35698.0,50,3.14702720096
2016-11-24,55118.2514786,106,15508794.0,0.178262,90454.0,47,8.45451966212
2016-11-25,27603.3970534,46,15196377.0,0.174671,38301.0,36,78.05173635
2016-11-26,24182.635312,32,14917803.0,0.171469,55140.0,24,181.021344924
2016-11-27,53436.7094352,42,14100960.0,0.16208,53887.0,30,405.2
2016-11-28,29257.9309506,54,14378229.0,0.165267,68097.0,34,104.614011
2016-11-29,58970.4513537,88,15204990.0,0.17477,53043.0,50,144.18525
2016-11-30,95612.7324397,83,14650191.0,0.168393,76889.0,51,168.224607
2016-12-01,33719.8142018,72,15441717.0,0.177491,40443.0,52,177.313509
2016-12-02,40888.7367383,63,14747544.0,0.169512,114045.0,42,320.085048827
