date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-09-19,,2,,,,3,
2017-09-20,,7801,,,,7802,
2017-09-21,,,,,,,
2017-09-22,,,,,,,
2017-09-23,,,,,,,
2017-09-24,,,,,,,
2017-09-25,,,,,,,
2017-09-26,,,,,,,
2017-09-27,,,,,,,
2017-09-28,,,,,,,
2017-09-29,,,,,,,
2017-09-30,,,,,,,
2017-10-01,,,,,,,
2017-10-02,,,,,,,
2017-10-03,,,,,,,
2017-10-04,,,,,,,
2017-10-05,,,,,,,
2017-10-06,,,,,,,
2017-10-07,,,,,,,
2017-10-08,,,,,,,
2017-10-09,,,,,,,
2017-10-10,,,,,,,
2017-10-11,,,,,,,
2017-10-12,,,,,,,
2017-10-13,,,,,,,
2017-10-14,,,,,,,
2017-10-15,,,,,,,
2017-10-16,,,,,,,
2017-10-17,,,,,,,
2017-10-18,,,,,,,
2017-10-19,,,,,,,
2017-10-20,,,,,,,
2017-10-21,,,,,,,
2017-10-22,,,,,,,
2017-10-23,,,,,,,
2017-10-24,,,,,,,
2017-10-25,,,,,,,
2017-10-26,,,,,,,
2017-10-27,,,0.0,0.408919,71509.0,,
2017-10-28,,,0.0,0.497721,68469.0,,
2017-10-29,,,0.0,0.477424,27956.0,,
2017-10-30,,,0.0,0.453817,21873.0,,
2017-10-31,,,0.0,0.534153,110856.0,,
2017-11-01,,,0.0,0.665505,241493.0,,
2017-11-02,,,0.0,1.08,276079.0,,
2017-11-03,,,0.0,1.18,51631.0,,
2017-11-04,,,0.0,1.35,55451.0,,
2017-11-05,,,0.0,1.24,88534.0,,
2017-11-06,,,0.0,1.59,348604.0,,
2017-11-07,,,0.0,1.73,476528.0,,
2017-11-08,,,0.0,1.41,126020.0,,
2017-11-09,,,0.0,1.31,88687.0,,
2017-11-10,,,0.0,1.23,172543.0,,
2017-11-11,,,0.0,0.913627,87265.0,,
2017-11-12,,,0.0,1.05,63451.0,,
2017-11-13,,,0.0,1.04,26404.0,,
2017-11-14,,,0.0,0.958108,35891.0,,
2017-11-15,,,0.0,1.06,36238.0,,
2017-11-16,,,0.0,1.0,32680.0,,
2017-11-17,,,0.0,1.03,31045.0,,
2017-11-18,,,0.0,0.973898,42698.0,,
2017-11-19,,,0.0,0.969894,17206.0,,
