date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-08-01,,6,,,,10,
2017-08-02,,5,,,,10,
2017-08-03,,9,,,,16,
2017-08-04,,9,,,,16,
2017-08-05,,11,,,,10,
2017-08-06,,11,,,,19,
2017-08-07,,7,,,,12,
2017-08-08,,7,,,,12,
2017-08-09,,15,,,,24,
2017-08-10,,6,,,,10,
2017-08-11,,6,,,,12,
2017-08-12,,14,,,,21,
2017-08-13,,3,,,,6,
2017-08-14,,23,,,,36,
2017-08-15,,32,,,,47,
2017-08-16,,19,,,,37,
2017-08-17,,68,,,,97,
2017-08-18,,102,,,,118,
2017-08-19,,96,,,,114,
2017-08-20,,122,,,,127,
2017-08-21,,75,,,,99,
2017-08-22,,443,,,,414,
2017-08-23,,267,,,,250,
2017-08-24,,200,,,,200,
2017-08-25,,301,,,,262,
2017-08-26,,143,,,,129,
2017-08-27,,103,,,,111,
2017-08-28,,253,,,,219,
2017-08-29,,2128,,,,2844,
2017-08-30,61140092.301,5535,0.0,0.118854,200829.0,5366,1331.045946
2017-08-31,24864649.2464,5115,0.0,0.104805,66809.0,5434,1173.8055195
2017-09-01,36554475.2956,5651,0.0,0.133504,8198750.0,4934,1565.75262798
2017-09-02,8093807.28134,1742,52536558.6026,0.075317,2840680.0,1413,918.322240491
2017-09-03,6631962.47686,4308,43333800.9334,0.062124,9833750.0,2948,686.859487621
2017-09-04,12520692.4074,3678,58898678.4255,0.084437,3792200.0,2862,1040.179403
2017-09-05,5775443.36765,2337,24852782.0481,0.035629,2816840.0,1950,523.511691431
2017-09-06,5172994.2309,2758,26042060.4701,0.037334,2589560.0,2332,481.722114027
2017-09-07,3258909.35539,1791,30847275.9333,0.044223,3608710.0,1666,428.80345497
2017-09-08,14517366.6888,4048,40278976.4004,0.057744,7482910.0,3167,772.29683928
2017-09-09,19454773.548,2613,33000172.5825,0.047309,2811530.0,2373,767.00946284
2017-09-10,4159209.07919,1727,33069507.2155,0.047409,1592970.0,1503,529.383130923
2017-09-11,3619106.40855,1363,31591639.3923,0.04529,1042710.0,1193,679.84819
2017-09-12,7492332.4156,1254,31070620.0048,0.044543,316986.0,1192,1150.278432
2017-09-13,8105323.29215,525,35498787.5087,0.050891,177864.0,470,507.38327
2017-09-14,2841583.79926,348,33293172.4653,0.04773,106674.0,312,413.29407
2017-09-15,329100.557426,348,28954159.0769,0.041509,75715.0,317,366.62568347
2017-09-16,793324.251418,293,38137489.7807,0.054674,64551.0,289,306.065052
2017-09-17,440462.896964,216,36078213.3964,0.051722,41447.0,227,303.174373447
2017-09-18,442423.562415,283,33098604.921,0.047451,56477.0,265,284.658549
2017-09-19,264610.429218,231,34093269.6911,0.048877,45354.0,203,195.459123
2017-09-20,127016.477759,180,32009177.1642,0.045889,19235.0,174,91.778
2017-09-21,624520.230731,247,30607811.703,0.04388,52376.0,215,232.9450978
2017-09-22,242181.528118,243,27121733.0067,0.038882,82930.0,212,195.1934723
2017-09-23,636042.408143,455,31712657.2394,0.045464,154649.0,330,331.691522944
2017-09-24,462316.218441,252,42159340.7281,0.06044,79280.0,237,508.1761958
2017-09-25,336394.863989,231,41283648.6346,0.059185,72689.0,210,224.31115
2017-09-26,381419.452299,281,41139467.656,0.058978,51623.0,220,240.62522687
2017-09-27,384516.846854,289,41675302.3644,0.059746,88026.0,244,266.14094684
2017-09-28,747762.545123,303,18399348.6723,0.064295,271944.0,252,335.34844651
2017-09-29,1009531.02572,478,23127436.7281,0.080817,356187.0,361,468.2941065
2017-09-30,773836.826816,567,25003597.3987,0.087373,702603.0,391,444.2654931
2017-10-01,3963631.61762,1594,35907847.5451,0.125477,2094370.0,1013,704.553355
2017-10-02,2047491.33221,804,50293937.7715,0.175748,1084100.0,574,878.74
2017-10-03,3271139.28627,384,44827504.6062,0.156646,634171.0,341,310.889568941
2017-10-04,1497192.22707,645,46513336.4367,0.162537,966273.0,482,809.271723
2017-10-05,3290344.63757,934,57690880.0599,0.201596,2203710.0,570,984.140030934
2017-10-06,3210762.77457,1108,66827739.2644,0.233524,1973490.0,781,822.238004
2017-10-07,2755483.02864,800,72386320.1343,0.252948,1300820.0,586,1040.40801911
2017-10-08,1701283.28256,712,61383626.4993,0.2145,1300060.0,463,731.5211475
2017-10-09,1438650.1386,513,51483549.9756,0.179905,724069.0,374,608.323966879
