date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-09-06,,4,,,,5,
2017-09-07,,,,,,,
2017-09-08,,,,,,,
2017-09-09,,,,,,,
2017-09-10,,,,,,,
2017-09-11,,,,,,,
2017-09-12,,,,,,,
2017-09-13,,,,,,,
2017-09-14,,,,,,,
2017-09-15,,,,,,,
2017-09-16,,4784,,,,3117,
2017-09-17,3151564.16871,1575,0.0,0.025794,688849.0,1424,309.528
2017-09-18,1392261.81201,815,0.0,0.024788,378063.0,762,297.456
2017-09-19,1158205.93933,488,0.0,0.024657,181704.0,422,566.075406
2017-09-20,1327882.65354,340,0.0,0.018221,270725.0,321,401.020012512
2017-09-21,3235724.37425,639,0.0,0.022643,388625.0,506,893.2255926
2017-09-22,1180609.04947,334,0.0,0.019982,277907.0,280,793.2674162
2017-09-23,591175.362065,197,0.0,0.018566,235828.0,174,408.452
2017-09-24,754899.02051,321,0.0,0.018695,287243.0,279,737.484099
2017-09-25,949796.517205,306,0.0,0.014452,430900.0,294,570.1053864
2017-09-26,1163338.24605,261,0.0,0.015623,383967.0,232,616.2992286
2017-09-27,1052110.82247,244,0.0,0.015235,311665.0,238,600.993327
2017-09-28,687309.622852,192,18067917.6379,0.015718,334318.0,189,320.859393
2017-09-29,982114.445809,455,18719872.0862,0.016285,323597.0,434,223.31641018
2017-09-30,522576.55609,486,16614989.0761,0.014454,253371.0,483,229.390587956
2017-10-01,276096.114968,340,16458643.1468,0.014318,251323.0,332,286.36
2017-10-02,265637.986597,203,16030703.2319,0.013945,357266.0,221,336.243944198
2017-10-03,365970.357443,226,15061490.0209,0.013102,414285.0,220,516.847696
2017-10-04,272134.227169,114,16120804.1937,0.014024,214878.0,138,439.77732996
2017-10-05,273019.976681,285,31842334.3206,0.014004,240713.0,202,98.028
2017-10-06,312910.483724,307,32890331.7211,0.014465,282123.0,238,152.43217
2017-10-07,258842.226697,285,32749355.497,0.014403,203767.0,244,172.994433
2017-10-08,247628.671571,166,32748169.6448,0.014403,199540.0,135,288.06
2017-10-09,426199.774375,201,32968490.8513,0.014499,314901.0,172,324.147425098
2017-10-10,255125.743218,170,23044312.6304,0.010135,233675.0,153,148.70072
2017-10-11,319358.249924,128,26135029.8333,0.011494,225843.0,118,182.65431485
2017-10-12,179817.566578,202,23654943.4061,0.010404,290955.0,159,300.9221748
2017-10-13,829402.097965,306,22162037.2854,0.009747,469195.0,244,584.82
2017-10-14,12088747.8381,3795,41749264.4486,0.018361,17462400.0,2185,724.3120724
2017-10-15,1201008.17441,422,44703339.4704,0.019661,3427730.0,262,600.501153178
2017-10-16,1565734.6172,349,31320730.3408,0.013775,1971230.0,216,261.725
2017-10-17,252895.299737,223,28106881.4358,0.012362,925906.0,156,148.319276
2017-10-18,578840.588167,195,24846919.9876,0.010928,557323.0,145,172.353727317
2017-10-19,182920.901742,212,24942721.2178,0.01097,1080690.0,156,220.988263463
2017-10-20,445585.044117,164,29749323.1551,0.013084,847098.0,136,274.737832
2017-10-21,1026436.56188,143,27280519.7034,0.011998,606592.0,95,400.748086418
