date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-24,,51,,,,50,
2017-07-25,,18,,,,20,
2017-07-26,,,,,,,
2017-07-27,,,,,,,
2017-07-28,,,,,,,
2017-07-29,,,,,,,
2017-07-30,,1,,,,2,
2017-07-31,,3,,,,4,
2017-08-01,,,,,,,
2017-08-02,,,,,,,
2017-08-03,,12,,,,18,
2017-08-04,,18,,,,22,
2017-08-05,,26,,,,32,
2017-08-06,,8,,,,13,
2017-08-07,,38,,,,36,
2017-08-08,,15,,,,17,
2017-08-09,,2,,,,2,
2017-08-10,,4,,,,3,
2017-08-11,,2,,,,4,
2017-08-12,,3,,,,6,
2017-08-13,,12,,,,15,
2017-08-14,,9,,,,17,
2017-08-15,,8,,,,10,
2017-08-16,,8,,,,7,
2017-08-17,,2,,,,4,
2017-08-18,,5,,,,9,
2017-08-19,,13,,,,17,
2017-08-20,,,,,,,
2017-08-21,,,,,,,
2017-08-22,,20,,,,20,
2017-08-23,888803.258344,21,162441645.991,4.58,995797.0,14,1449.182532
2017-08-24,134378.307139,11,154983320.122,4.37,441121.0,12,151.639
2017-08-25,239000.119597,11,159519870.172,4.49,1231690.0,13,1295.5895
2017-08-26,427410.113546,11,175456914.482,4.94,1828830.0,18,1484.4206
2017-08-27,93559.34404,7,201819154.964,5.68,1058870.0,7,373.0056
2017-08-28,666644.787314,10,196486131.006,5.54,1046260.0,16,19175.325
2017-08-29,191122.070763,6,179856886.886,5.07,644801.0,10,3244.7896065
2017-08-30,20541.380409,7,183472015.664,5.17,277276.0,9,1051.41256
2017-08-31,347.49517,1,192462281.46,5.42,934.0,2,347.49517
2017-09-01,105.597189474,2,190245553.132,5.35754385965,92150.9473684,4,52.7985947368
2017-09-02,1158300.59745,2,188028824.804,5.2950877193,183367.894737,3,579150.298725
2017-09-03,520.646842105,1,185812096.476,5.23263157895,274584.842105,2,520.646842105
2017-09-04,341227.746813,35,183595368.147,5.1701754386,365801.789474,29,3994.88857281
2017-09-05,713445.261112,33,181378639.819,5.10771929825,457018.736842,30,3579.60205404
2017-09-06,370782.105757,29,179161911.491,5.04526315789,548235.684211,32,1375.08849179
2017-09-07,604414.705489,28,176945183.163,4.98280701754,639452.631579,19,5904.65994974
2017-09-08,712186.022766,46,174728454.834,4.92035087719,730669.578947,37,2952.13672105
2017-09-09,1364199.96015,110,172511726.506,4.85789473684,821886.526316,74,968.918521316
2017-09-10,2413936.01616,228,170294998.178,4.79543859649,913103.473684,196,971.397849947
2017-09-11,10847535.8141,499,168078269.85,4.73298245614,1004320.42105,385,1883.72701754
2017-09-12,1257515.45856,169,165861541.522,4.67052631579,1095537.36842,147,934.105263158
2017-09-13,1199868.96155,84,163644813.193,4.60807017544,1186754.31579,65,1382.42105263
2017-09-14,564582.37194,60,161428084.865,4.54561403509,1277971.26316,51,659.984065614
2017-09-15,572425.312123,45,159211356.537,4.48315789474,1369188.21053,50,452.350631579
2017-09-16,177962.254701,26,156994628.209,4.42070175439,1460405.15789,27,495.134732053
2017-09-17,42704.5198124,29,154777899.88,4.35824561404,1551622.10526,30,435.824561404
2017-09-18,201840.940094,34,152561171.552,4.29578947368,1642839.05263,35,1289.58805279
2017-09-19,107300.37595,18,150344443.224,4.23333333333,1734056.0,21,1519.63966667
2017-09-20,59479.6421499,23,148127714.896,4.17087719298,1825272.94737,24,417.087719298
2017-09-21,311330.803134,36,145910986.567,4.10842105263,1916489.89474,37,824.724442105
2017-09-22,783352.451657,47,143694258.239,4.04596491228,2007706.84211,41,1768.4750793
2017-09-23,101784.003755,17,141477529.911,3.98350877193,2098923.78947,19,425.808008105
2017-09-24,1304.73026316,8,139260801.583,3.92105263158,2190140.73684,9,23.5263157895
