date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses
2016-09-09,,,0.0,0.181483,1349.0,,
2016-09-10,,,0.0,0.558536,811.0,,
2016-09-11,,,0.0,0.390948,879.0,,
2016-09-12,,,0.0,0.376312,1116.0,,
2016-09-13,,,0.0,0.374469,3337.0,,
2016-09-14,,,0.0,0.309516,4129.0,,
2016-09-15,,,0.0,0.325188,1982.0,,
2016-09-16,,,0.0,0.349726,15105.0,,
2016-09-17,,,0.0,0.388924,21060.0,,
2016-09-18,,,0.0,0.426591,105159.0,,
2016-09-19,,,0.0,0.384877,1448.0,,
2016-09-20,,,0.0,0.331291,1171.0,,
2016-09-21,,,0.0,0.312539,156.0,,
2016-09-22,,,0.0,0.303806,54002.0,,
2016-09-23,,,0.0,0.252745,16845.0,,
2016-09-24,,,0.0,0.243321,21740.0,,
2016-09-25,,,0.0,0.213843,3075.0,,
2016-09-26,,,0.0,0.199118,9657.0,,
2016-09-27,,,0.0,0.202473,19806.0,,
2016-09-28,,,0.0,0.197915,6354.0,,
2016-09-29,,,0.0,0.194845,11050.0,,
2016-09-30,,,0.0,0.191685,2032.0,,
2016-10-01,,,0.0,0.184979,2748.0,,
2016-10-02,,,0.0,0.202302,4178.0,,
2016-10-03,,,0.0,0.177613,913.0,,
2016-10-04,,,0.0,0.178659,506.0,,
2016-10-05,,,0.0,0.185765,1864.0,,
2016-10-06,,,0.0,0.289361,2612.0,,
2016-10-07,,,0.0,0.179898,5785.0,,
2016-10-08,,,0.0,0.202812,31830.0,,
2016-10-09,,,0.0,0.205045,30052.0,,
2016-10-10,,,0.0,0.186466,11204.0,,
2016-10-11,,,0.0,0.193114,5949.0,,
2016-10-12,,,0.0,0.193611,12201.0,,
2016-10-13,,,0.0,0.186072,1318.0,,
2016-10-14,,,0.0,0.1854,2335.0,,
2016-10-15,,,0.0,0.191007,596.0,,
2016-10-16,,,0.0,0.179883,16019.0,,
2016-10-17,35174200.0,8,0.0,0.175871,12989.0,0.0,3
2016-10-18,38252276.3365,1674,0.0,0.192736,406917.0,0.0,827
2016-10-19,12065845.8842,1470,0.0,0.197446,228476.0,0.0,693
2016-10-20,1469537.88667,962,0.0,0.117083,286750.0,0.0,450
2016-10-21,713792.099172,823,0.0,0.092487,269793.0,0.0,322
2016-10-22,358433.193573,570,0.0,0.080197,293121.0,0.0,233
2016-10-23,259515.560276,317,0.0,0.081487,107073.0,0.0,151
2016-10-24,560351.034,787,0.0,0.081,522611.0,0.0,284
2016-10-25,1227515.11186,3067,4681050.0,0.093621,365986.0,0.0,1943
2016-10-26,593876.2587,1008,6785000.0,0.1357,494772.0,0.0,515
2016-10-27,433472.530312,580,6480400.0,0.129608,169528.0,0.0,287
2016-10-28,270781.797914,1106,6372350.0,0.127447,545958.0,0.0,775
2016-10-29,791696.808733,755,7561850.0,0.151237,714101.0,0.0,335
2016-10-30,188951.979354,395,8647300.0,0.172946,377793.0,0.0,217
2016-10-31,826270.83539,1068,9080500.0,0.18161,917488.0,0.0,404
2016-11-01,345922.797816,499,11411600.0,0.228232,411699.0,0.0,225
2016-11-02,172371.041008,402,10732300.0,0.214646,242163.0,0.0,198
2016-11-03,197232.312068,300,9898100.0,0.197962,265799.0,0.0,152
2016-11-04,402169.395834,399,8678700.0,0.173574,123337.0,0.0,241
2016-11-05,402037.163506,286,8796700.0,0.175934,165265.0,0.0,130
2016-11-06,52706.8632,182,8040000.0,0.1608,52679.0,0.0,83
2016-11-07,255787.184259,402,8197850.0,0.163957,264007.0,0.0,170
2016-11-08,59817.317187,206,8653650.0,0.173073,64487.0,0.0,131
2016-11-09,40458.087239,141,8079950.0,0.161599,51101.0,0.0,91
2016-11-10,155095.376358,232,7967100.0,0.159342,226859.0,0.0,116
2016-11-11,610554.213732,511,8414650.0,0.168293,92296.0,0.0,231
2016-11-12,94277.657233,255,8630150.0,0.172603,38920.0,0.0,126
2016-11-13,96582.707985,224,8434950.0,0.168699,47661.0,0.0,94
2016-11-14,196310.778699,384,8517350.0,0.170347,161342.0,0.0,188
2016-11-15,305721.696647,327,9193150.0,0.183863,58217.0,0.0,201
2016-11-16,126109.972625,198,8693750.0,0.173875,52767.0,0.0,104
2016-11-17,118943.665272,228,8132700.0,0.162654,115600.0,0.0,107
2016-11-18,114522.036519,248,8663350.0,0.173267,170258.0,0.0,127
2016-11-19,52057.41097,130,8606750.0,0.172135,20977.0,0.0,80
2016-11-20,196082.092674,61,8496450.0,0.169929,6888.0,0.0,44
2016-11-21,53978.373,198,8550000.0,0.171,13977.0,0.0,103
2016-11-22,27783.769314,120,8673700.0,0.173474,30457.0,0.0,72
2016-11-23,176604.161877,123,8444150.0,0.168883,18866.0,0.0,92
2016-11-24,160839.470456,216,8350300.0,0.167006,252878.0,0.0,105
2016-11-25,176554.007568,226,8595150.0,0.171903,148809.0,0.0,138
2016-11-26,171908.385712,234,8730400.0,0.174608,53456.0,0.0,99
2016-11-27,60997.921262,159,8706700.0,0.174134,34618.0,0.0,87
2016-11-28,179144.227767,198,8653650.0,0.173073,92873.0,0.0,112
2016-11-29,128670.995913,248,8393050.0,0.167861,121979.0,0.0,117
2016-11-30,99346.288536,223,7498150.0,0.149963,63418.0,0.0,97
2016-12-01,252746.143524,290,7226100.0,0.144522,62769.0,0.0,131
2016-12-02,7540480.30489,475,7005950.0,0.140119,69742.0,0.0,349
2016-12-03,159287.548002,202,7099350.0,0.141987,121437.0,0.0,83
2016-12-04,144118.001888,252,7122200.0,0.142444,109462.0,0.0,88
2016-12-05,323385.92217,220,7363500.0,0.14727,71656.0,0.0,95
2016-12-06,86372.11656,161,6948000.0,0.13896,54376.0,0.0,71
2016-12-07,100869.345324,152,6809800.0,0.136196,51152.0,0.0,69
2016-12-08,93770.186904,153,6872400.0,0.137448,31065.0,0.0,73
2016-12-09,155186.615265,197,6720450.0,0.134409,54783.0,0.0,78
2016-12-10,113257.76576,100,6547600.0,0.130952,37027.0,0.0,53
2016-12-11,16518.761208,69,6267600.0,0.125352,41967.0,0.0,40
2016-12-12,65057.986128,97,6104100.0,0.122082,57019.0,0.0,58
2016-12-13,76107.594045,138,6651750.0,0.133035,30845.0,0.0,81
2016-12-14,62124.47109,159,6396500.0,0.12793,50948.0,0.0,67
2016-12-15,75311.576176,179,6050600.0,0.121012,38086.0,0.0,70
2016-12-16,97371.291381,120,5493450.0,0.109869,49515.0,0.0,54
2016-12-17,56045.433175,96,5722250.0,0.114445,62650.0,0.0,44
2016-12-18,14624.71835,45,5292100.0,0.105842,37746.0,0.0,35
2016-12-19,56993.64954,112,5763000.0,0.11526,55326.0,0.0,60
2016-12-20,30881.811456,107,6076800.0,0.121536,73913.0,0.0,65
2016-12-21,153177.708552,473,6043400.0,0.120868,635204.0,0.0,169
2016-12-22,430119.162374,455,8322050.0,0.166441,544880.0,0.0,206
2016-12-23,205448.988407,281,7752950.0,0.155059,187645.0,0.0,106
2016-12-24,94366.74807,131,6977250.0,0.139545,132934.0,0.0,77
2016-12-25,53044.42566,144,7210650.0,0.144213,239670.0,0.0,72
2016-12-26,273321.88996,318,7339250.0,0.146785,579250.0,0.0,150
2016-12-27,59909.1934,115,8330000.0,0.1666,265268.0,0.0,66
2016-12-28,70579.935776,167,7901600.0,0.158032,118030.0,0.0,88
2016-12-29,101028.920288,172,7534400.0,0.150688,100992.0,0.0,77
2016-12-30,54793.357628,118,7179950.0,0.143599,69464.0,0.0,63
2016-12-31,48273.45772,101,7376300.0,0.147526,61000.0,0.0,47
2017-01-01,76241.315869,135,7238150.0,0.144763,63512.0,0.0,42
2017-01-02,60844.966406,135,7092050.0,0.141841,75921.0,0.0,55
2017-01-03,104977.12923,221,7282250.0,0.145645,90544.0,0.0,64
2017-01-04,253227.86412,267,7014700.0,0.140294,94045.0,0.0,85
2017-01-05,230441.523147,342,6839850.0,0.136797,206224.0,0.0,82
2017-01-06,113312.258235,241,6554350.0,0.131087,54666.0,0.0,84
2017-01-07,101296.22073,125,6775250.0,0.135505,53818.0,0.0,55
2017-01-08,35856.31485,102,6416250.0,0.128325,69033.0,0.0,53
2017-01-09,63902.19504,162,6631500.0,0.13263,90000.0,0.0,56
2017-01-10,170924.708207,211,6188050.0,0.123761,126915.0,0.0,98
2017-01-11,202100.17556,284,6698500.0,0.13397,120522.0,0.0,107
2017-01-12,70931.875905,146,5756850.0,0.115137,59945.0,0.0,71
2017-01-13,117954.313792,69,6205300.0,0.124106,50365.0,0.0,43
2017-01-14,91733.19874,109,6066850.0,0.121337,9262.0,0.0,58
2017-01-15,31593.825144,92,6145200.0,0.122904,6954.0,0.0,49
2017-01-16,95698.84477,100,6186500.0,0.12373,5112.0,0.0,49
2017-01-17,79277.147975,174,5983750.0,0.119675,7960.0,0.0,78
2017-01-18,23614.704848,78,5840800.0,0.116816,7457.0,0.0,38
2017-01-19,63089.39516,155,6151750.0,0.123035,14984.0,0.0,71
2017-01-20,61413.794908,206,5829800.0,0.116596,16255.0,0.0,74
2017-01-21,26322.483935,121,5897750.0,0.117955,15335.0,0.0,50
2017-01-22,41920.404192,101,5815300.0,0.116306,6468.0,0.0,51
