date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-06,,12,,,,8,
2017-07-07,,2,,,,2,
2017-07-08,,545,,,,316,
2017-07-09,,3307,,,,2066,
2017-07-10,,2747,,,,1948,
2017-07-11,,892,,,,637,
2017-07-12,,617,,,,399,
2017-07-13,,1023,,,,544,
2017-07-14,14286533.2824,1218,0.0,0.534731,750698.0,661,1171.94319615
2017-07-15,9965338.358,761,57654693.3452,0.586446,1552730.0,423,896.60556048
2017-07-16,9306797.56044,1286,42380445.719,0.431081,1743630.0,574,666.7960908
2017-07-17,5882562.19176,1206,37524126.4251,0.381684,4273090.0,603,485.371036082
2017-07-18,9701371.01734,1579,56453123.848,0.574224,8394650.0,735,887.3770584
2017-07-19,10016889.9656,1126,74647336.3833,0.75929,4236020.0,472,1030.83520927
2017-07-20,4861050.84584,720,58605665.172,0.596119,3376440.0,320,856.773352867
2017-07-21,4124116.55507,691,65844871.2716,0.669754,2140420.0,305,1242.64183597
2017-07-22,8314301.43901,899,72951257.9758,0.742038,3596130.0,393,1483.333962
2017-07-23,8228383.09879,1718,86214241.9251,0.878973,15198100.0,798,878.973
2017-07-24,16537411.8352,2178,148152300.934,1.51,12526000.0,992,1509.245
2017-07-25,7903754.30701,1310,150765925.098,1.53,8132390.0,624,1529.235
2017-07-26,5963105.21801,980,120503054.256,1.23,4740910.0,418,1229.385
2017-07-27,4355127.98699,872,119157535.63,1.21,5379280.0,416,1209.395
2017-07-28,5206595.60065,943,135802844.017,1.38,5438700.0,400,1380.0
2017-07-29,3636064.46897,630,117167709.586,1.19,2651230.0,314,1189.9881
2017-07-30,1584515.65538,610,124348590.562,1.27,1749290.0,281,1009.15343
2017-07-31,2840004.27609,567,117532264.39,1.2,2153100.0,284,782.21484
2017-08-01,1701358.22064,662,120249989.805,1.22,4360060.0,307,679.335300775
2017-08-02,6702471.78876,835,131613056.058,1.34,3708080.0,413,1261.72503235
2017-08-03,12755075.3291,2009,135865792.684,1.38,18348800.0,981,1337.22
2017-08-04,28592341.0854,4219,192036296.033,1.95,44051500.0,2157,1578.79830131
2017-08-05,81155983.8581,6752,274466062.197,2.79,95593696.0,3358,1642.07387947
2017-08-06,42289000.7725,3102,356339889.105,3.62,39669900.0,1772,2015.947975
2017-08-07,24689853.693,2845,265808185.714,2.7,34417900.0,1455,1349.973
2017-08-08,29538657.2852,4587,309762655.554,3.15,49778700.0,2136,1575.0
2017-08-09,23474788.1956,2935,355739949.739,3.62,24783900.0,1214,1809.9638
2017-08-10,52118713.9591,7673,334968683.546,3.41,234692992.0,3224,1046.817486
2017-08-11,131200832.484,6679,585953440.68,5.96,200287008.0,3243,1156.05487584
2017-08-12,50955758.4787,5276,707973505.008,7.2,87590304.0,2536,1468.77942301
2017-08-13,66440944.9797,4979,607861587.112,6.18,128909000.0,2337,1537.34576137
2017-08-14,40939174.0428,4382,675936763.829,6.88,85191296.0,2189,1371.42320958
2017-08-15,37963955.1326,3830,682552649.465,6.94,67045700.0,1983,1387.37539688
2017-08-16,54108859.409,5940,655731589.204,6.67,204580000.0,3020,1192.85204099
2017-08-17,46173780.6879,4986,874479792.608,8.89,131488000.0,2696,1116.8751475
2017-08-18,42780807.2024,5244,826029144.033,8.4,104224000.0,2672,1176.0
2017-08-19,39523774.9236,4509,718690378.919,7.31,70997400.0,2502,913.7782166
2017-08-20,27552613.2083,4554,762899498.123,7.76,74687696.0,2611,775.9224
