date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-09-10,,35,,,,16,
2018-09-11,,8,,,,9,
2018-09-12,,11,,,,13,
2018-09-13,,10,,,,13,
2018-09-14,,,,,,,
2018-09-15,,,,,,,
2018-09-16,,2,,,,3,
2018-09-17,,8,,,,11,
2018-09-18,,17,,,,22,
2018-09-19,,33,,,,32,
2018-09-20,,18,,,,21,
2018-09-21,,35,,,,35,
2018-09-22,,8,,,,10,
2018-09-23,,2,,,,3,
2018-09-24,,29,,,,25,
2018-09-25,,8,,,,12,
2018-09-26,,7,,,,8,
2018-09-27,6986932.25412,26,0.0,0.997747,18084600.0,17,10875.4423
2018-09-28,4164492.88506,96,0.0,0.99694,14445200.0,65,29.9082
2018-09-29,626647.47951,40,0.0,1.0,12641400.0,37,996.96685
2018-09-30,7000754.94467,84,0.0,1.0,24168200.0,78,167.02765
2018-10-01,5599231.03,44,0.0,1.0,10192600.0,31,65263.0
2018-10-02,554540.065284,22,0.0,0.997961,3671040.0,20,1214.37882246
2018-10-03,3184266.37975,39,0.0,1.0,2526330.0,39,986.8483
2018-10-04,6711018.1038,42,0.0,1.01,3735650.0,38,592.668
2018-10-05,2882290.42391,27,0.0,1.0,11916300.0,22,123.6
2018-10-06,86911.6,3,0.0,1.0,12614100.0,4,25896.6
2018-10-07,94.65391,6,0.0,1.0,12880100.0,10,11.126955
2018-10-08,3765056.29993,22,0.0,1.0,14762500.0,21,109.94
2018-10-09,5122886.09392,44,13495851.2673,1.02,12885600.0,39,2547.858
2018-10-10,753461.54097,34,13231884.1584,1.0,4300970.0,36,108.53
2018-10-11,5607750.51614,82,13446463.0,1.01,52747000.0,50,4234.323394
2018-10-12,37295737.9319,96,21357075.0,1.01,31630200.0,51,15103.2067
2018-10-13,7625953.08912,52,23975535.0,1.01,16169700.0,39,4331.181687
2018-10-14,1693052.55954,33,23954210.598,1.01,25629000.0,26,4441.068677
2018-10-15,53101015.4629,189,36458481.0,1.02,26404800.0,98,6915.61224
2018-10-16,67192129.5453,171,51346678.4412,1.03,18049200.0,100,5898.9910637
2018-10-17,40875457.4459,129,64472744.7327,1.02,16751300.0,88,7192.6524
2018-10-18,20646887.9403,124,41925778.0,1.01,20209700.0,79,12190.5485
2018-10-19,62160169.8004,217,42006765.0,1.01,17583200.0,182,20.604
2018-10-20,23585393.2543,462,41846453.0,1.01,10019600.0,437,10.403
2018-10-21,2199648.71541,362,41978939.0,1.01,14796700.0,348,10.4636
2018-10-22,32700076.1422,251,41809490.0,1.01,19751400.0,162,7008.3294
2018-10-23,40823810.0049,128,79390775.0,1.01,19929900.0,88,6061.1615
2018-10-24,14144831.0187,102,79373507.0,1.01,15514100.0,73,12625.0
2018-10-25,7006135.23395,167,97179017.0,1.01,21052100.0,131,404.6363
2018-10-26,44705545.5656,1580,96833851.0,1.01,18251500.0,1471,0.48682
2018-10-27,16029184.7596,196,96716552.0,1.01,26526700.0,111,7109.036904
2018-10-28,8218999.10675,64,96787701.0,1.01,20093500.0,59,11965.8235
2018-10-29,25006710.9655,207,107540393.0,1.01,24948600.0,118,15805.781284
2018-10-30,68803698.319,240,113148843.58,1.01,27944200.0,113,25250.0
2018-10-31,54142592.9613,285,109682190.37,1.01,40036600.0,143,16348.716682
2018-11-01,40378629.8038,427,111291357.031,0.998617,30620400.0,329,16.64694539
2018-11-02,73346622.4004,452,133748373.211,1.01,44779500.0,207,16465.121
2018-11-03,12767102.8526,231,133027642.91,0.99984,41278200.0,133,9054.43075925
2018-11-04,9582294.16699,152,132719235.267,0.997522,56330100.0,82,10510.3724979
2018-11-05,42298419.3975,259,130804095.089,0.976401,50824900.0,133,15401.272988
2018-11-06,52490579.3052,237,134316764.593,0.998211,56682400.0,132,14972.1657908
2018-11-07,69791222.7275,601,135726195.988,0.998879,58709200.0,396,103.2840886
2018-11-08,64463722.2259,518,133990647.149,0.995461,50134300.0,152,14589.3508884
2018-11-09,66023820.163,460,135302763.702,0.999493,46708600.0,140,16181.1755825
2018-11-10,26230926.384,235,135254042.0,1.0,34089900.0,110,13394.2621
2018-11-11,18096479.7941,173,135307555.444,1.0,45203500.0,129,9998.7
