date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-06-27,,,0.0,25.22,303595.0,,
2017-06-28,,,0.0,48.06,97388.0,,
2017-06-29,,,0.0,22.03,98292.0,,
2017-06-30,,,0.0,42.68,50486.0,,
2017-07-01,,,0.0,39.41,47037.0,,
2017-07-02,,,0.0,32.4,23087.0,,
2017-07-03,,,0.0,28.13,54180.0,,
2017-07-04,,,0.0,43.95,54173.0,,
2017-07-05,,,0.0,53.52,81559.0,,
2017-07-06,,,0.0,63.43,57748.0,,
2017-07-07,11042591487.1,7906,0.0,73.06,17115200.0,4567,72986.94
2017-07-08,33078422.2005,5739,116481386.864,1.11,9172650.0,3674,867.021
2017-07-09,17437166.5585,3635,116174053.654,1.11,5116090.0,2467,699.189
2017-07-10,11046555.8791,2915,94454111.7182,0.902474,4091090.0,2026,757.626923
2017-07-11,4965700.62977,1919,73249310.536,0.69987,2728010.0,1294,482.329988792
2017-07-12,1830386.47903,1431,69341885.8521,0.662536,2263570.0,989,331.268
2017-07-13,2139571.36606,1278,83731874.0397,0.800027,1315660.0,966,435.008329982
2017-07-14,2127376.29288,1444,75295858.2461,0.719424,888570.0,1048,452.877408
2017-07-15,1784237.40762,920,70683016.0561,0.67535,658322.0,741,512.59065
2017-07-16,2908472.05227,1490,62658947.1673,0.598683,762642.0,1036,401.851135833
2017-07-17,2663609.08814,1558,59503199.1197,0.568531,1064690.0,1049,477.36705415
2017-07-18,4527285.1826,1207,74222870.3587,0.709172,1299010.0,789,435.77910228
2017-07-19,3571651.36329,929,74153584.4601,0.70851,892973.0,636,566.808
2017-07-20,2409388.55638,844,65549378.044,0.6263,1104700.0,581,526.02937
2017-07-21,1653940.09482,858,73710448.2874,0.704276,941278.0,601,624.148147929
2017-07-22,1262944.6292,782,70178547.8638,0.67053,1105650.0,601,393.522783721
2017-07-23,2291917.24533,1177,85817564.5105,0.819955,1372810.0,751,474.753945
2017-07-24,9553556.49079,2574,94526726.3833,0.903438,6187510.0,1699,603.17586351
2017-07-25,3296609.07295,1335,111987601.446,1.07,3183140.0,917,850.46320598
2017-07-26,1346782.95893,869,89010571.6071,0.850463,1773700.0,630,374.087725607
2017-07-27,5417756.18188,874,102010553.415,0.974673,1375970.0,634,642.253687477
2017-07-28,1794078.11099,743,101797358.339,0.972636,1532520.0,541,439.098862732
2017-07-29,1372484.56972,658,93914058.4898,0.897314,821267.0,458,439.23071643
2017-07-30,1441066.95617,739,97233705.8766,0.929032,761095.0,474,597.595367883
2017-07-31,3734234.147,578,93312779.6746,0.891569,927682.0,446,344.145634
2017-08-01,1250144.11659,587,92762575.2315,0.886312,1974540.0,428,423.773499902
2017-08-02,1655536.78942,720,98720105.6664,0.943234,1214640.0,541,482.589804566
2017-08-03,2036375.9816,899,96641533.5276,0.92494,2287810.0,655,622.724010473
2017-08-04,4752178.84145,1905,105633844.213,1.01,6686840.0,1231,663.376429036
2017-08-05,20382065.7758,6498,130535115.297,1.25,20158400.0,3476,1035.25463689
2017-08-06,28274867.8804,5225,224550609.083,2.14,22959900.0,3068,1271.41252
2017-08-07,16046960.1136,3049,193358017.537,1.85,17232100.0,1783,1109.963
2017-08-08,8254974.73185,2126,216086184.118,2.06,11213800.0,1316,1033.502
2017-08-09,5743814.85289,1977,230273259.437,2.2,8207280.0,1141,1100.0
2017-08-10,22069364.542,3827,224024621.331,2.14,36245500.0,1912,1070.0
2017-08-11,41701680.5192,5717,300231093.673,2.87,72243200.0,3600,1148.0
2017-08-12,77508620.2627,8355,472198379.075,4.51,144768992.0,5127,1639.7428498
2017-08-13,31501925.4912,3715,497021558.659,4.75,63744900.0,2349,1423.1
2017-08-14,29966146.5981,3229,533657302.074,5.1,40308400.0,2066,1305.09
2017-08-15,21832869.7613,2831,478276708.341,4.57,32234900.0,1802,1371.0
2017-08-16,16969386.5192,2475,434186072.058,4.15,38520100.0,1697,1203.5
2017-08-17,14720451.0992,2779,492184497.389,4.7,27541400.0,1734,1410.3377059
2017-08-18,17123814.3302,2794,448211300.549,4.28,27194300.0,1766,1284.08436736
2017-08-19,16589137.3557,2998,381787101.572,3.65,29938900.0,1704,1251.07499713
2017-08-20,19224822.5542,2367,436257699.4,4.17,21808800.0,1412,1251.08219904
2017-08-21,11876149.1942,2490,422355717.923,4.04,17514800.0,1572,1048.986
2017-08-22,10547154.6808,1986,381381591.887,3.64,15464100.0,1379,790.840146005
2017-08-23,7276355.30709,2273,371875971.316,3.55,16820800.0,1483,710.0
2017-08-24,22231437.2239,2498,380309947.612,3.63,13663200.0,1868,1361.23185
2017-08-25,304637271.027,1768,380004618.172,3.63,10738900.0,1275,732.629202848
2017-08-26,5130354.818,1793,368635825.384,3.52,13238500.0,1158,792.0
2017-08-27,6622019.80169,1688,386213106.875,3.69,9396920.0,1145,738.073577825
2017-08-28,9229548.94949,2226,378686012.637,3.62,19053600.0,1340,1086.0
2017-08-29,22533954.8218,3842,395280248.553,3.78,55100500.0,2182,1209.14759508
2017-08-30,24519999.0711,3582,441079932.768,4.21,38732600.0,2333,1382.95906074
2017-08-31,16344325.3418,2274,453699264.066,4.34,18249400.0,1607,872.379677973
2017-09-01,12402903.7118,2342,448004160.39,4.28,19597000.0,1619,795.381194513
2017-09-02,11380055.0179,2243,419212736.667,4.0,17736200.0,1408,1035.4012
2017-09-03,13077057.8039,2216,379011324.482,3.62,13885000.0,1379,1048.62712
2017-09-04,32184180.8735,4725,369788948.28,3.53,25177900.0,2898,1235.4647
2017-09-05,12422151.758,3588,289161994.808,2.76,15330600.0,2332,823.864968
2017-09-06,23682768.6942,4373,306775345.673,2.93,13894900.0,3177,914.76230545
2017-09-07,11888286.2681,3244,309338626.591,2.96,10850500.0,2394,591.982536
2017-09-08,15879044.3749,6921,333263072.791,3.18,11828700.0,5064,596.6703324
2017-09-09,9586856.71333,3750,289210338.921,2.76,5556020.0,2657,509.77557115
2017-09-10,10462784.365,4431,280627645.899,2.68,5583990.0,3406,935.856
2017-09-11,4039390.32444,2422,272455553.882,2.6,3785740.0,1757,415.571
2017-09-12,4433381.97033,2414,267537938.213,2.56,6993150.0,1806,356.992
2017-09-13,9980409.70136,1910,263013324.296,2.51,4374450.0,1482,326.035866425
2017-09-14,5845838.98125,2435,244770936.621,2.34,5434480.0,1820,440.517016368
2017-09-15,6207034.36452,3612,180671760.59,1.73,7176660.0,2633,346.0
2017-09-16,3403803.58442,2429,231871634.101,2.22,3924690.0,1902,392.735316
2017-09-17,2384200.26861,1492,225889550.563,2.16,1812480.0,1137,359.455864622
2017-09-18,3031805.76986,2323,216036470.248,2.06,3764930.0,1747,256.393348265
2017-09-19,5952120.32349,1999,229547450.348,2.19,3948150.0,1661,315.078366
2017-09-20,3112331.73148,1311,207642744.0,1.98,3408460.0,1106,266.630786017
2017-09-21,2028957.58877,1478,196198039.851,1.87,3126050.0,1228,273.818480407
2017-09-22,3157097.40514,2085,168575967.139,1.61,20251500.0,1611,244.772029098
2017-09-23,1561864.98736,1219,209978836.212,2.01,5925450.0,1032,234.102518969
2017-09-24,1444429.04175,1020,218733643.369,2.09,2556770.0,828,250.7791
2017-09-25,1970390.27699,1214,216984156.944,2.07,5107580.0,988,247.331643678
2017-09-26,2818124.93658,1433,242695250.837,2.32,8809800.0,1109,256.594171033
2017-09-27,2932010.92381,1643,261705775.081,2.5,9783940.0,1325,266.950520275
2017-09-28,3647207.85374,1614,322439162.978,3.08,8056480.0,1315,342.283301668
2017-09-29,1972090.3383,1050,288220397.3,2.75,4474950.0,907,329.282420225
2017-09-30,1451364.18298,897,262107520.446,2.5,2678700.0,737,221.272598575
