date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-09,,4,,,,4,
2017-07-10,,5417,,,,2685,
2017-07-11,16923337.0847,3223,0.0,2.81,2704070.0,1799,509.43614
2017-07-12,13081157.5995,2938,0.0,3.33,3055770.0,1698,394.18875
2017-07-13,29373684.462,2925,198522603.704,5.37,3630010.0,1688,563.85
2017-07-14,29047076.4694,2611,150667219.01,4.07333333333,3128790.0,1530,814.666666667
2017-07-15,9602532.67354,2014,102811834.317,2.77666666667,2627570.0,1360,621.408281667
2017-07-16,7933254.16295,1805,54956449.6232,1.48,2126350.0,1244,327.95912
2017-07-17,2772698.57563,1969,51127925.4545,1.38,1840040.0,1402,207.0
2017-07-18,5339557.72176,1545,93503353.3008,2.53,2329580.0,1053,486.29575242
2017-07-19,2766266.89963,1008,90854137.5,2.45,1044880.0,721,367.2599
2017-07-20,1701819.26296,665,73246551.9407,1.98,505556.0,530,336.6
2017-07-21,3067680.52473,586,88299749.0,2.39,661561.0,447,532.97
2017-07-22,1789758.78037,631,88567004.0746,2.39,358007.0,504,435.18076
2017-07-23,1757075.96517,751,99025495.1628,2.68,437422.0,546,428.8
2017-07-24,3360633.17929,883,95596770.6639,2.58,991648.0,665,539.22
2017-07-25,1648898.48653,637,90447026.7143,2.44,434991.0,495,488.0
2017-07-26,1744131.26186,645,82134776.3017,2.22,533922.0,523,333.0
2017-07-27,2518203.24786,754,85017450.8268,2.3,619044.0,574,460.001490538
2017-07-28,2712935.47058,936,94351985.4962,2.55,993253.0,653,552.871726743
2017-07-29,2723699.5078,1095,96008487.4789,2.59,945852.0,791,362.6
2017-07-30,1692574.45642,690,105071849.505,2.84,507801.0,543,364.165505971
2017-07-31,2545880.23124,936,103565014.557,2.8,964834.0,661,439.6
2017-08-01,5381415.08659,765,121423558.11,3.28,811061.0,609,408.559963134
2017-08-02,2211462.72105,726,134786838.832,3.64,492153.0,571,345.036831721
2017-08-03,1048349.31842,624,125379205.879,3.39,503479.0,479,339.0
2017-08-04,2665435.32948,946,134548738.475,3.64,1064530.0,647,364.0
2017-08-05,2226371.61824,782,146379020.127,3.96,641941.0,632,396.64152
2017-08-06,2581567.04775,675,152383332.165,4.12,450571.0,527,412.0
2017-08-07,5658419.65909,1192,170551908.226,4.61,1441870.0,863,529.562225
2017-08-08,6465421.53541,1528,224505036.799,6.07,2002390.0,1017,615.360502906
2017-08-09,3441518.84162,1002,201160927.192,5.44,782146.0,738,350.133384534
2017-08-10,3323105.2902,837,218936761.829,5.92,979250.0,633,592.0
2017-08-11,3414645.39998,849,237013472.811,6.41,959727.0,671,560.89423
2017-08-12,4832347.58321,832,226287135.327,6.12,894071.0,639,573.659758519
2017-08-13,2440273.08982,630,223546279.733,6.04,516448.0,504,524.70084
2017-08-14,4162359.37979,722,203973042.278,5.51,924743.0,587,524.347020617
2017-08-15,2375019.76929,612,215345429.081,5.22,590298.0,495,320.53932
2017-08-16,3236047.23725,569,194509414.054,4.72,735244.0,467,481.44
2017-08-17,1972431.16337,799,198435771.937,4.81,649644.0,664,481.0
2017-08-18,2211195.27678,661,229161315.136,5.56,702786.0,554,625.1386
2017-08-19,2231100.30059,626,221211379.246,5.36,585845.0,519,536.0
2017-08-20,2137489.27193,468,198213929.821,4.81,335168.0,383,481.0
2017-08-21,2388040.31256,672,186040754.908,4.51,658417.0,529,473.55
2017-08-22,1484720.48383,505,173155834.485,4.2,415849.0,436,428.4
2017-08-23,2784526.13566,607,159397426.858,3.86,415283.0,514,386.0
2017-08-24,2073706.16118,915,145714323.729,3.53,758569.0,700,426.64902451
2017-08-25,1076403.68163,524,182961479.81,4.44,430544.0,419,443.2008
2017-08-26,1959309.26258,509,182242551.172,4.42,454791.0,416,442.0
2017-08-27,1245207.57306,503,157137205.508,3.81,353973.0,452,348.461055121
2017-08-28,1315115.00549,469,161054254.13,3.9,449384.0,422,278.5926
2017-08-29,1316664.87985,424,159171450.19,3.86,398299.0,370,496.191327688
2017-08-30,1939338.66951,605,160620512.403,3.89,531823.0,515,462.91
2017-08-31,947674.072251,414,159210484.703,3.86,337862.0,375,386.0
2017-09-01,6459571.93064,1060,150268389.655,3.64,1464360.0,795,542.36
2017-09-02,2415593.44552,858,168108862.416,4.07,763729.0,662,384.207826699
2017-09-03,1677766.51819,579,154819679.221,3.75,565324.0,459,375.7822137
2017-09-04,1720411.95176,568,159876990.586,3.88,476314.0,484,390.951596025
2017-09-05,964189.4953,495,149687969.946,3.63,364357.0,437,319.44
2017-09-06,1333055.09535,412,161979811.137,3.93,410924.0,371,604.377015
2017-09-07,1932554.45337,528,172189947.824,4.17,403291.0,450,417.0
2017-09-08,2182562.47069,666,162095369.174,3.93,370638.0,567,550.2
2017-09-09,1237126.45599,536,138532010.812,3.36,454427.0,462,369.6
2017-09-10,1237489.81617,463,150971141.314,3.66,252076.0,368,366.0
2017-09-11,1501909.97861,592,144881204.198,3.51,374879.0,483,444.015
2017-09-12,1912212.64794,589,134942628.715,3.27,505448.0,459,392.4
2017-09-13,1083160.4956,464,133087615.237,3.23,391322.0,384,435.334555
2017-09-14,839701.972417,480,135302754.455,3.28,295268.0,368,365.97584
2017-09-15,864621.665433,459,109326804.718,2.65,337136.0,385,265.0
2017-09-16,1249021.70113,490,124320577.864,3.01,451852.0,422,347.07708
2017-09-17,1147480.34175,341,114999168.791,2.79,404752.0,305,279.0
2017-09-18,659359.979473,384,119929760.09,2.91,501178.0,306,357.577745402
2017-09-19,713280.981193,362,137980476.116,3.34,347692.0,310,392.45
2017-09-20,505684.51165,231,120738378.247,2.93,237960.0,212,381.602742979
