date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-08-01,,1,,,,2,
2017-08-02,,,,,,,
2017-08-03,,,,,,,
2017-08-04,,,,,,,
2017-08-05,,,,,,,
2017-08-06,,,,,,,
2017-08-07,,,,,,,
2017-08-08,,,,,,,
2017-08-09,,,,,,,
2017-08-10,,,,,,,
2017-08-11,,,,,,,
2017-08-12,,,,,,,
2017-08-13,,,,,,,
2017-08-14,,,,,,,
2017-08-15,,,,,,,
2017-08-16,,,,,,,
2017-08-17,,,,,,,
2017-08-18,,,,,,,
2017-08-19,,,,,,,
2017-08-20,,,,,,,
2017-08-21,,,,,,,
2017-08-22,,,,,,,
2017-08-23,,,,,,,
2017-08-24,,,,,,,
2017-08-25,,,,,,,
2017-08-26,,,,,,,
2017-08-27,,,,,,,
2017-08-28,,,,,,,
2017-08-29,,,,,,,
2017-08-30,,,,,,,
2017-08-31,,,,,,,
2017-09-01,,,,,,,
2017-09-02,,,,,,,
2017-09-03,,,,,,,
2017-09-04,,,,,,,
2017-09-05,,,,,,,
2017-09-06,,,,,,,
2017-09-07,,,,,,,
2017-09-08,,,,,,,
2017-09-09,,,,,,,
2017-09-10,,,,,,,
2017-09-11,,,,,,,
2017-09-12,,,,,,,
2017-09-13,,,,,,,
2017-09-14,,,,,,,
2017-09-15,,,,,,,
2017-09-16,,,,,,,
2017-09-17,,,,,,,
2017-09-18,,,,,,,
2017-09-19,,,,,,,
2017-09-20,,4,,,,4,
2017-09-21,,4,,,,4,
2017-09-22,,1,,,,2,
2017-09-23,,,,,,,
2017-09-24,,,,,,,
2017-09-25,,1,,,,2,
2017-09-26,,1,,,,2,
2017-09-27,,9,,,,8,
2017-09-28,,1514,,,,1124,
2017-09-29,349410486.425,3057,53990210.288,6.91,4174650.0,2030,3109.3618
2017-09-30,50429575.29,3024,138812823.739,4.18,6410870.0,2303,955.68385
2017-10-01,40545663.0406,2368,196750392.547,5.78,15741400.0,1467,1150.22
2017-10-02,81590423.9271,2113,266263939.265,7.27,13543300.0,1519,1454.0
2017-10-03,27559315.8382,1195,239022757.701,6.52,5546400.0,883,976.853948956
2017-10-04,29450796.2155,1322,295533282.311,5.4,4136630.0,936,936.90901827
2017-10-05,20908352.5138,1781,232642712.709,4.25,3646930.0,1258,425.0
2017-10-06,12338304.7158,1459,230757554.44,4.22,2282420.0,1204,326.2482
2017-10-07,6138763.54629,1487,217897295.772,3.98,3388420.0,1095,398.0
2017-10-08,11656565.1378,1569,183351273.199,3.35,2501230.0,1211,315.394342817
2017-10-09,7590273.69376,1311,188327681.873,3.45,2942420.0,1018,345.0
2017-10-10,9799135.06335,1339,166764777.425,3.05,2384720.0,1059,263.72093705
2017-10-11,8830779.1604,1577,182059668.446,3.33,3229530.0,1176,333.824175
2017-10-12,3251869.36159,1006,210967901.097,3.86,2160950.0,843,241.781101878
2017-10-13,4081312.24179,1430,196007288.564,3.58,2599040.0,1148,334.277184828
2017-10-14,2136926.76436,1083,179055128.4,3.27,1515720.0,905,181.447947368
2017-10-15,1684927.59575,977,160788487.764,2.94,1371840.0,801,292.824
2017-10-16,16932353.5973,2756,164139291.254,3.0,5613960.0,1972,591.84276
2017-10-17,13825626.0201,1725,189111614.787,3.46,6084920.0,1273,415.2
2017-10-18,10252466.4252,1128,168487181.649,3.08,4956180.0,839,303.71264
2017-10-19,4822810.44329,896,162074239.785,2.96,3695910.0,715,206.029997855
2017-10-20,7773289.0124,1290,162158823.391,2.97,4634470.0,961,297.0
2017-10-21,3994796.17149,1089,128393248.913,2.75,5154440.0,815,292.5725
2017-10-22,3050299.74316,1030,117415422.372,2.51,5401130.0,806,258.286664348
2017-10-23,11025668.9534,2746,166571532.612,3.56,13532400.0,1811,765.250391356
2017-10-24,16582548.445,1533,143286704.203,3.06,6991420.0,1218,266.836902732
2017-10-25,4129131.02858,1138,142551929.027,3.05,6644420.0,869,286.417930891
2017-10-26,4119884.15109,1072,152975061.829,3.27,5668710.0,815,317.475728153
2017-10-27,2323243.17402,992,141914342.959,3.04,3240800.0,826,209.76
2017-10-28,2434424.31285,952,137553609.789,2.94,3545970.0,794,226.38
2017-10-29,2241150.76731,994,133132373.384,2.85,3768150.0,796,185.435819202
2017-10-30,1956703.37566,1033,137919446.107,2.95,3316740.0,864,213.585654353
2017-10-31,1848505.65557,1326,125311471.351,2.68,4393950.0,1016,218.179867364
2017-11-01,2818376.68061,1746,124385310.996,2.66,4220950.0,1297,224.839088286
2017-11-02,2562150.95251,1506,105471262.0,2.26,4052270.0,1187,190.019808662
2017-11-03,3153132.05785,1288,107512554.147,2.3,4608760.0,921,249.801860994
2017-11-04,1406359.70244,958,120403308.355,2.57,3843900.0,739,156.981204939
2017-11-05,2201656.63932,875,109747231.596,2.35,3216540.0,694,235.0
2017-11-06,3586520.06503,1307,121066366.306,2.59,6400980.0,967,257.705
2017-11-07,3907356.15549,1649,130314249.315,2.79,6463600.0,1179,279.0
2017-11-08,6863124.02696,1968,146400236.253,3.13,10930800.0,1536,249.651702637
2017-11-09,9682917.29514,2797,171263641.346,3.66,10186400.0,2105,237.9
2017-11-10,4141837.20118,2015,193525681.087,4.14,6291400.0,1645,247.566939512
2017-11-11,2836722.92727,1552,176554308.216,3.78,6157120.0,1256,211.691774133
2017-11-12,5380964.33654,1911,181563143.298,3.88,5216980.0,1479,194.0
2017-11-13,2014448.86093,1290,169350320.316,3.45,4445720.0,1030,200.1
2017-11-14,3034391.23654,1105,194298333.209,3.96,4635890.0,937,399.546031738
2017-11-15,1790104.4378,1194,190117705.344,3.88,4302840.0,1211,161.658633256
2017-11-16,2304852.79527,1332,186768992.474,3.82,5030580.0,1294,206.854568549
2017-11-17,3407786.2265,1691,174454028.724,3.56,4069920.0,1662,175.775
2017-11-18,1617376.60354,1324,165006666.532,3.37,4922050.0,1252,158.251618398
