date,txVolume(USD),txCount,paymentCount,activeAddresses,medianTxValue(USD),marketcap(USD),price(USD),exchangeVolume(USD)
2017-08-28,,1,1,2,,,,
2017-08-29,,2,2,3,,,,
2017-08-30,,2,2,3,,,,
2017-08-31,,3,3,4,,,,
2017-09-01,,26,26,17,,,,
2017-09-02,,15,15,15,,,,
2017-09-03,,423,423,316,,,,
2017-09-04,,1360,1360,1011,,,,
2017-09-05,,1397,1397,1043,,,,
2017-09-06,,1540,1540,1336,,,,
2017-09-07,,686,686,603,,,,
2017-09-08,,526,526,462,,,,
2017-09-09,,468,468,441,,,,
2017-09-10,,531,531,550,,,,
2017-09-11,,642,642,803,,,,
2017-09-12,,329,329,365,,,,
2017-09-13,1904725.61491,384,384,391,259.985914713,0.0,0.002051,48512.0
2017-09-14,2678158.65899,334,334,283,216.149509,0.0,0.002006,58770.0
2017-09-15,337296.881709,169,169,176,290.604105,0.0,0.001419,26475.0
2017-09-16,249739.794729,204,204,151,180.77399985,0.0,0.001815,54535.0
2017-09-17,269382.073828,258,258,187,305.370864,0.0,0.001836,124998.0
2017-09-18,1968324.24067,463,463,383,339.879,0.0,0.003324,159158.0
2017-09-19,1784011.48431,377,377,303,327.3,0.0,0.003273,158416.0
2017-09-20,472702.241567,310,310,264,255.850591618,0.0,0.002306,83399.0
2017-09-21,667529.382114,363,363,252,251.722410306,0.0,0.002638,99853.0
2017-09-22,212418.41591,1801,1801,1776,0.000273419685,0.0,0.002079,38829.0
2017-09-23,19588517.8152,5616,5616,4172,0.000789330189,0.0,0.001934,42314.0
2017-09-24,35434124.4335,4857,4857,4846,0.000176029764,0.0,0.002346,50023.0
2017-09-25,574814.587035,7873,7873,7860,0.000160145144,0.0,0.002251,106284.0
2017-09-26,527724.376864,8941,8941,8948,0.000131137269,0.0,0.001777,61508.0
2017-09-27,31686727.8899,9973,9973,9973,0.000130359712,0.0,0.001736,35671.0
2017-09-28,3108313.20413,8415,8415,8419,0.000184295078,25802729.0898,0.002563,69532.0
2017-09-29,581696.734301,8322,8322,8326,0.000196142412,29202481.2769,0.002901,58162.0
2017-09-30,144505.403452,3185,3185,3209,0.00016772214,19959147.5891,0.001983,53734.0
2017-10-01,249180286.374,6692,6692,6684,0.000181268892,22757585.3068,0.002261,72807.0
2017-10-02,1824251.6786,7092,7092,6955,0.000182393904,73920263.7174,0.001848,887622.0
2017-10-03,21386637.4715,7973,7973,7935,0.000265500768,109897989.048,0.002748,822107.0
2017-10-04,1771031.59808,5840,5840,5742,0.0002355191445,98767293.0462,0.002469,1072200.0
2017-10-05,2420506.34455,5926,5926,5786,0.000298286443,130768664.819,0.003269,704167.0
2017-10-06,2142753.71013,3777,3777,3723,0.000316999413,132819604.005,0.003321,478330.0
2017-10-07,425213.888743,5353,5353,5316,0.00025964254,195036872.489,0.002995,352974.0
2017-10-08,368298.756382,6946,6946,6904,0.000202293855,167018654.988,0.002565,239490.0
2017-10-09,1261028.89078,7631,7631,7605,0.000192999895,167156335.905,0.002567,350960.0
2017-10-10,387565.920755,7637,7637,7658,0.000151378314,142983667.257,0.002186,215705.0
2017-10-11,277834.327176,8473,8473,8473,0.000167151936,149684912.473,0.002289,289055.0
2017-10-12,218459.613866,7662,7662,7664,0.0001804089455,161573128.406,0.002471,136756.0
2017-10-13,336959.98294,7579,7579,7604,0.000176060255,153333130.937,0.002345,184709.0
2017-10-14,237202.493326,5022,5022,5036,0.000162379511,138231748.181,0.002114,121404.0
2017-10-15,133419.604381,9283,9283,9310,0.00014992101,155482779.592,0.002378,116033.0
2017-10-16,229547.758552,31481,31481,31487,0.000143712793,149588193.59,0.002287,152645.0
2017-10-17,271679.300787,39390,39390,39398,0.00014023702,140969861.479,0.002156,116008.0
2017-10-18,239166.581743,28689,28689,28705,0.000127723105,127051568.03,0.001943,189768.0
2017-10-19,418084.477798,18233,18233,18245,0.000140279154,136989613.404,0.002094,325575.0
2017-10-20,403740.570967,20495,20495,20468,0.00012442504,125367084.515,0.001916,211546.0
2017-10-21,236501.76895,9113,9113,9094,0.000140992929,127798908.031,0.001953,243113.0
2017-10-22,347468.317856,299,299,252,206.483694772,150871259.69,0.002306,244796.0
2017-10-23,459595.85685,252,252,226,510.443351262,168461747.57,0.002575,221618.0
2017-10-24,341743.874868,318,318,223,242.5,158686273.794,0.002425,297411.0
2017-10-25,539296.409929,507,507,370,272.897240719,173752068.864,0.002656,715742.0
2017-10-26,824045.855695,385,385,295,406.998035931,198164555.791,0.003029,794428.0
2017-10-27,922979.797284,386,386,277,460.603342896,185826420.164,0.00284,1589480.0
2017-10-28,536421.625351,475,475,371,310.763053711,200159522.52,0.003059,1031720.0
2017-10-29,3542119.28783,666,666,470,593.930052039,195523248.142,0.002988,1605430.0
2017-10-30,3619221.60942,4830,4830,4466,70.2338,193077208.631,0.002951,1347640.0
2017-10-31,3196786.94368,755,755,783,552.0,180826318.763,0.00276,1805800.0
2017-11-01,519557.0761,4252,4252,4264,0.000289501875,182332840.833,0.002782,1398750.0
2017-11-02,497358.668192,8710,8710,8697,0.000260734248,165377419.922,0.002524,1429590.0
2017-11-03,2353654.26969,27600,27600,27591,0.000231683328,151000005.144,0.002304,1588360.0
2017-11-04,236375.274605,54906,54906,54933,0.00022413123,145993382.273,0.002228,1696040.0
2017-11-05,387475.411376,68169,68169,68167,0.00021470474,139288452.176,0.002126,1762660.0
2017-11-06,1515750.44624,52329,52329,52316,0.000222722959,145039138.966,0.002213,1719120.0
2017-11-07,218339.044246,50551,50551,50509,0.00021563685,140527081.161,0.002145,1497470.0
2017-11-08,974027.130244,35564,35564,35532,0.000219329582,142395198.27,0.002173,2839470.0
2017-11-09,256264.36457,272,272,225,460.8,150976955.304,0.002304,2924350.0
2017-11-10,350619.051296,282,282,185,467.0,152977925.186,0.002335,2193620.0
2017-11-11,376579.359613,207,207,172,388.474168991,132776688.543,0.002026,1748460.0
2017-11-12,273775.533111,205,205,192,359.074,131421538.528,0.002006,2174370.0
2017-11-13,497715.825162,230,230,168,359.0,117765085.142,0.001795,2889150.0
