date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-03-05,,11,,,,6,
2018-03-06,9522263.77057,39,0.0,0.998462,10643500.0,13,148.894104903
2018-03-07,4289225.79471,13,0.0,0.994246,6274620.0,10,993.251754
2018-03-08,68061.6388051,2,0.0,1.0,2401910.0,2,34030.8194025
2018-03-09,6319667.96358,18,0.0,1.01,5316350.0,11,4538.52981896
2018-03-10,1972559.92583,4,0.0,0.98421,1606990.0,4,7233.27451594
2018-03-11,219.0,4,0.0,1.0,2099980.0,4,7.0
2018-03-12,6888.2,1,6627543.87768,1.01,1398700.0,2,6888.2
2018-03-13,6126.39929693,2,6495755.52464,0.986493,1210120.0,2,3063.19964847
2018-03-14,44858.4119426,7,6561925.1251,1.0,1888930.0,6,6000.0
2018-03-15,2115195.00626,8,6645345.85025,1.01,2610810.0,8,23464.825
2018-03-16,58818.6246502,9,6549297.10973,0.995402,902615.0,7,98.544798
2018-03-17,8195.10251039,8,6548472.67993,0.994332,1321340.0,6,465.423815272
2018-03-18,2133323.98378,59,6568239.32867,0.998281,3493100.0,21,660.753334156
2018-03-19,22812.3587888,16,6410054.78085,0.96945,2291760.0,13,615.7088508
2018-03-20,302717.100318,31,6652123.61,1.01,1785010.0,18,277.065144735
2018-03-21,29233.6916899,22,6579550.11863,1.0,1219640.0,16,950.857466065
2018-03-22,102231.982179,32,6558396.2,0.997249,2908660.0,21,100.32182832
2018-03-23,4024227.23813,27,6543809.982,0.994568,2202750.0,18,659.398584
2018-03-24,507895.532336,27,7924114.52598,1.0,967029.0,17,759.77215591
2018-03-25,59653.6962818,3,7849636.03144,0.990601,825428.0,4,29718.4311884
2018-03-26,11104.9872024,6,7892086.47239,0.994993,2587900.0,6,1367.120382
2018-03-27,6717.78457275,4,7912386.60068,0.99852,2200920.0,5,1248.15
2018-03-28,8096.47412019,11,7867204.258,0.99256,951963.0,10,1050.46349381
2018-03-29,82325.484099,33,7910777.22772,1.0,2985780.0,20,822.810242
2018-03-30,4743536.3956,34,9568856.19469,1.01,3017020.0,22,545.7441575
2018-03-31,169859.312604,27,9478473.0,1.0,1613600.0,16,548.674875
2018-04-01,17804.3484444,24,9439032.67327,1.0,2178630.0,10,30.0
2018-04-02,18152.4003329,17,9568856.01076,1.01,1017440.0,12,503.7375
2018-04-03,324119.928695,89,9472508.46121,0.998044,1527120.0,21,918.127057047
2018-04-04,321356.996002,24,9605709.0,1.0,1664350.0,16,473.877810605
2018-04-05,43448.7397639,24,9571650.49505,1.0,1245700.0,16,246.0462252
2018-04-06,66288.1477933,30,9666984.0,1.01,867908.0,13,1602.47493758
2018-04-07,77061.484143,54,9641995.0,1.01,802142.0,17,786.372961789
2018-04-08,110832.693649,61,9655303.0,1.01,617041.0,23,1025.51636517
2018-04-09,211390.999674,35,9644975.0,1.01,1364890.0,16,937.810434992
2018-04-10,244506.358764,59,9658745.79066,1.01,816891.0,15,705.99
2018-04-11,55433.1339412,28,9563255.27201,0.99951,803442.0,17,864.789375768
2018-04-12,54879.9235505,27,9621545.0,1.01,3940870.0,19,501.57206
2018-04-13,63912.8880243,28,9626518.0,1.01,2514640.0,20,241.4892325
2018-04-14,385758.927661,23,9661475.0,1.01,3937500.0,21,402.99
2018-04-15,356663.734887,33,9699786.49,1.01,3089420.0,18,209.803200208
2018-04-16,652131.658861,19,9783114.9548,1.0,2861680.0,15,631.492629
2018-04-17,392410.696778,25,9769154.04202,0.998573,1665870.0,19,261.626126
2018-04-18,201372.646121,27,9821494.84041,0.999774,1883270.0,24,999.774
2018-04-19,144498.302743,21,9870845.46064,1.01,1474770.0,17,419.21360475
2018-04-20,36608.7318038,18,9870846.1509,1.01,1856480.0,9,499.7076
2018-04-21,124512.090493,11,9661147.20782,0.989886,1920660.0,11,4331.35195567
