date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-04-25,,27,,,,17,
2017-04-26,,84,,,,72,
2017-04-27,,6,,,,7,
2017-04-28,,9,,,,10,
2017-04-29,,4,,,,4,
2017-04-30,,9,,,,10,
2017-05-01,,18,,,,10,
2017-05-02,,35,,,,23,
2017-05-03,,34,,,,20,
2017-05-04,,30,,,,22,
2017-05-05,,15,,,,14,
2017-05-06,,26,,,,13,
2017-05-07,,26,,,,27,
2017-05-08,,28,,,,23,
2017-05-09,,43,,,,35,
2017-05-10,,25,,,,18,
2017-05-11,,46,,,,32,
2017-05-12,,39,,,,32,
2017-05-13,,59,,,,53,
2017-05-14,,31,,,,26,
2017-05-15,,33,,,,30,
2017-05-16,,44,,,,37,
2017-05-17,,31,,,,25,
2017-05-18,,19,,,,14,
2017-05-19,,45,,,,37,
2017-05-20,,48,,,,41,
2017-05-21,,51,,,,47,
2017-05-22,,174,,,,130,
2017-05-23,,583,,,,405,
2017-05-24,,788,,,,600,
2017-05-25,,524,,,,410,
2017-05-26,,428,,,,339,
2017-05-27,,84,,,,78,
2017-05-28,,11,,,,11,
2017-05-29,,6,,,,8,
2017-05-30,,4,,,,4,
2017-05-31,,15,,,,15,
2017-06-01,,36,,,,24,
2017-06-02,,32,,,,24,
2017-06-03,,45,,,,34,
2017-06-04,,74,,,,34,
2017-06-05,,54,,,,37,
2017-06-06,,134,,,,75,
2017-06-07,,669,,,,371,
2017-06-08,1739289.01895,764,0.0,48.96,450758.0,444,265.8528
2017-06-09,1370787.4693,569,0.0,49.18,202187.0,323,393.44
2017-06-10,1611258.22364,618,0.0,58.58,379805.0,320,408.944209943
2017-06-11,67415.8775698,401,0.0,3.35,311346.0,259,30.15
2017-06-12,1648144.29726,438,0.0,34.22,209633.0,246,336.448831168
2017-06-13,2858833.74622,417,0.0,38.43,386655.0,279,853.146
2017-06-14,2426949.65777,472,0.0,38.68,725719.0,267,597.396952164
2017-06-15,3344947.76937,445,0.0,47.99,681138.0,274,527.89
2017-06-16,3484150.93268,448,89164629.1988,46.21,664325.0,269,462.1
2017-06-17,1428510.38389,526,93720373.4487,48.57,598619.0,278,483.2715
2017-06-18,1268197.57248,442,146353654.611,74.44,460199.0,285,446.637980442
2017-06-19,5042738.46711,1087,139700760.842,71.05,1782450.0,584,677.713911092
2017-06-20,10954819.0247,737,358332566.533,182.19,875154.0,475,994.194858208
2017-06-21,1231220.24065,239,247393396.774,125.79,196939.0,250,943.425
2017-06-22,3998851.0416,714,201002487.423,102.2,595125.0,529,948.56730838
2017-06-23,3179529.48472,877,189344695.958,96.25,648668.0,600,602.23625
2017-06-24,7994727.41761,546,179675422.047,91.33,533137.0,385,821.97
2017-06-25,1539200.40378,501,161269184.251,81.98,448249.0,343,491.88
2017-06-26,1433326.8693,509,174386425.483,88.64,365080.0,354,560.91392
2017-06-27,1455376.0293,559,156769791.306,79.69,660872.0,394,478.14
2017-06-28,1487576.02649,491,180259707.056,91.63,474827.0,361,414.44249
2017-06-29,7615904.60412,519,200577447.39,101.96,403049.0,372,619.186261294
2017-06-30,1657504.91249,540,166559879.374,84.67,404239.0,365,524.954
2017-07-01,1706964.22079,479,163900869.097,83.31,418430.0,345,530.18484
2017-07-02,1977693.06426,451,158083167.347,80.36,516134.0,317,755.836782236
2017-07-03,3946060.62146,1315,174866060.556,88.89,1475570.0,783,533.34
2017-07-04,6312539.39145,1873,267473386.319,135.96,2074780.0,1076,679.66404
2017-07-05,7476742.60409,1157,368587345.892,187.33,1657050.0,766,905.83503432
2017-07-06,9558687.43912,1139,403039754.512,204.79,1289000.0,776,819.16
2017-07-07,4559512.72241,1150,405742912.909,206.16,1175170.0,769,810.62112
2017-07-08,11062132.8521,1073,332598681.942,169.0,1094770.0,695,1014.0
2017-07-09,4282482.2182,1053,354504935.629,180.13,831020.0,717,540.39
2017-07-10,6913527.17761,1301,294079554.9,149.43,912641.0,806,555.8796
2017-07-11,3206764.66126,1021,263673102.258,133.98,568388.0,751,499.87938
2017-07-12,4604157.2569,1045,253958798.902,129.04,1024050.0,739,503.256
2017-07-13,6048512.85716,852,308211601.499,156.61,551359.0,622,682.268053108
2017-07-14,2666968.26847,1062,252914169.04,128.51,750738.0,759,628.092625
2017-07-15,3306529.33683,955,229251786.499,116.49,526734.0,713,495.049644421
2017-07-16,3022110.25198,944,210107806.465,106.74,846448.0,672,533.7
2017-07-17,4380088.48142,1184,268352099.836,136.33,1096830.0,857,681.65
2017-07-18,9738365.64643,1600,309557685.293,157.26,2329790.0,1069,786.3
2017-07-19,11741364.6011,1390,435744953.445,221.25,1940830.0,938,885.0
2017-07-20,6776499.74752,902,357525050.877,181.53,1201120.0,700,726.210765
2017-07-21,5440189.00235,811,413855099.087,210.13,1171560.0,594,971.64112
2017-07-22,3748965.16602,950,405136921.2,205.71,1366800.0,680,617.13
2017-07-23,22803451358.1,1338,465552441.324,232.05,2101720.0,924,926.855775014
2017-07-24,33902447.7228,3360,398914553.645,198.83,7801210.0,2037,994.15
2017-07-25,10749019.3475,1348,400706694.582,199.73,1662690.0,950,799.91865
2017-07-26,5628581.30082,1015,318804368.007,158.9,979729.0,800,636.8712
2017-07-27,4880871.68877,1048,292426018.095,145.76,1247980.0,780,728.8
2017-07-28,4404191.59103,716,317202172.769,158.11,928039.0,547,634.258265
2017-07-29,3107707.58949,712,297899990.059,148.48,780460.0,554,469.768149091
2017-07-30,2266839.80787,627,314415182.522,156.72,529467.0,477,470.16
2017-07-31,3463597.33356,733,283193750.278,141.15,849255.0,561,564.6
2017-08-01,3562559.7754,817,307233680.935,153.14,1128220.0,639,756.35846
2017-08-02,4657321.83138,1149,387505984.89,193.15,1353000.0,828,869.175
2017-08-03,2655737.20582,796,340401160.734,169.67,929780.0,609,509.01
2017-08-04,15408198.5272,971,320940268.225,159.97,1432100.0,721,639.88
2017-08-05,8114370.97332,942,302685382.038,150.87,1016800.0,678,603.479766068
2017-08-06,3345636.63666,849,303039314.847,151.03,1073450.0,614,684.77002
2017-08-07,7569197.06539,954,326777751.689,162.86,1708830.0,698,812.477137476
2017-08-08,9535263.60203,1123,313654275.487,156.0,1574720.0,850,780.0
2017-08-09,3186105.82266,936,285801762.757,142.15,1016900.0,719,710.75
2017-08-10,5131968.38595,818,258600648.419,128.62,1322830.0,649,643.1
2017-08-11,2449888.47599,802,266504140.284,132.55,866089.0,624,704.1056
2017-08-12,3862948.28421,952,270367398.068,134.47,1043500.0,731,707.379435
2017-08-13,3177900.30098,1074,246320419.714,122.52,1005650.0,805,672.299450127
2017-08-14,1769581.87378,600,243340577.562,121.03,546326.0,496,610.674606339
2017-08-15,2064422.94971,529,257392744.314,128.02,484945.0,420,693.078469076
2017-08-16,1088064.36671,415,243720911.805,121.22,276008.0,376,601.00876
2017-08-17,6948979.88649,616,242220347.292,120.48,417889.0,500,562.981723206
2017-08-18,2041239.4728,656,279397920.652,138.92,478251.0,545,694.6
2017-08-19,2065624.00011,420,252737272.627,125.67,233569.0,378,650.833741058
2017-08-20,991625.651748,490,254010301.337,126.3,254550.0,416,579.363815269
2017-08-21,4477229.7175,568,254074915.607,126.33,398006.0,450,631.65
2017-08-22,3169232.44325,513,246062298.356,122.35,373934.0,401,702.90075
2017-08-23,1339009.66082,630,227473078.984,113.11,395507.0,482,458.699618248
2017-08-24,4201674.0911,1055,216627201.643,107.71,1207530.0,765,601.426212792
2017-08-25,1952867.71338,639,217860496.969,108.33,562288.0,504,655.17984
2017-08-26,1667820.9921,683,230739625.387,114.73,529091.0,479,484.96371
2017-08-27,1797879.65643,622,214046323.753,106.43,540851.0,502,585.365
2017-08-28,2479452.77354,675,201111515.965,100.0,1191200.0,496,900.0
2017-08-29,1977317.8902,549,209445561.626,104.14,441796.0,463,696.28004
2017-08-30,2791757.02054,940,209702106.506,104.27,787137.0,715,560.13844
2017-08-31,2736795.62488,540,188026750.348,93.49,540121.0,476,678.529559861
2017-09-01,5545971.06727,1179,189683128.162,94.32,1127460.0,901,679.104
2017-09-02,1596843.7304,804,189206370.46,94.08,655107.0,629,564.48
2017-09-03,1233222.4783,602,197371141.872,98.14,616404.0,451,490.7
2017-09-04,1539348.21799,585,199498555.235,99.2,499374.0,465,496.0
2017-09-05,1864753.25521,541,201849528.018,100.37,529581.0,424,501.85
2017-09-06,1746996.00777,459,203841109.087,101.36,519034.0,391,628.432
2017-09-07,1182447.88169,477,219201970.359,108.99,434926.0,408,688.782946985
2017-09-08,2322259.89233,597,209644717.089,104.24,613955.0,509,514.11168
2017-09-09,1847842.23819,716,207584944.42,103.22,1067610.0,572,519.360333044
2017-09-10,1621569.18481,424,191243808.627,95.09,324440.0,348,630.517175885
2017-09-11,1517753.65353,562,176237509.222,87.63,611174.0,484,621.860512016
2017-09-12,1125064.04379,500,176257342.939,87.64,412080.0,401,596.77240758
2017-09-13,1437053.94523,492,183856324.533,91.42,457586.0,413,620.817556882
2017-09-14,747443.085689,479,163064419.752,81.08,267914.0,396,427.37268
2017-09-15,930100.994365,447,141141415.293,70.18,293120.0,383,366.6905
2017-09-16,840252.514393,478,175484888.559,87.26,466838.0,388,463.00156
2017-09-17,4376270.61027,308,173475481.43,86.26,287407.0,266,421.46636
2017-09-18,1779046.87692,427,214380687.598,106.6,580538.0,345,613.032345215
2017-09-19,1059185.33762,330,200842827.654,99.86,379193.0,275,498.529188421
2017-09-20,1239885.95957,362,177045609.211,88.03,558018.0,286,616.21
2017-09-21,8887606909.52,319,182379153.039,90.69,337306.0,270,634.83
2017-09-22,920740.507517,321,162121192.014,80.61,463277.0,294,403.05
2017-09-23,407408.067611,272,160914206.78,80.01,220339.0,239,266.4333
2017-09-24,480419.834187,155,174415451.15,86.73,147935.0,154,433.65
2017-09-25,672807.287894,201,157829738.27,78.48,265708.0,197,583.18488
2017-09-26,560651.701629,253,162819977.732,80.96,269815.0,216,415.56768
2017-09-27,767611.132487,265,156126620.777,77.63,354518.0,234,520.121
2017-09-28,799717.882714,286,166940942.235,83.01,282470.0,238,672.381
2017-09-29,632483.656206,291,151209705.085,75.19,264286.0,268,559.250151634
2017-09-30,896867.15505,299,150830189.991,75.0,214287.0,244,424.875
2017-10-01,710729.642086,273,130805940.35,65.04,245037.0,270,585.36
2017-10-02,610254.61942,307,149871858.885,74.52,268205.0,281,541.457938267
2017-10-03,1060424.04772,344,141785605.312,70.5,398208.0,281,705.0
2017-10-04,1170876.81267,302,136637289.733,67.94,370106.0,284,523.604508757
2017-10-05,686966.752419,293,135135840.894,67.03,345917.0,259,536.24
2017-10-06,734213.90762,259,129736232.136,64.35,438750.0,222,507.91455
2017-10-07,860863.278275,380,136139500.924,67.53,280054.0,308,540.24
2017-10-08,1054645.35241,438,124581807.337,61.79,358034.0,373,616.318566149
2017-10-09,597977.00828,393,113973521.085,56.53,260843.0,352,466.3725
2017-10-10,372664.700928,250,116857424.774,57.96,186440.0,244,354.62826
2017-10-11,747905.191627,311,128478377.495,63.73,283817.0,266,491.67695
2017-10-12,1301456.3809,425,170515558.083,84.58,411596.0,364,671.893292899
2017-10-13,644847.012549,254,162171874.592,80.44,380602.0,215,733.0095
2017-10-14,735833.869314,341,158502511.617,78.62,296547.0,300,483.092189952
2017-10-15,540505.699735,239,169837258.545,84.24,224884.0,209,485.200730442
2017-10-16,264086.824761,230,157272439.05,78.01,213794.0,221,390.05
2017-10-17,802976.308297,219,160755750.186,79.74,356309.0,198,663.19758
2017-10-18,1819911.38601,355,148419622.579,73.62,525937.0,298,734.637065618
2017-10-19,1063841.47252,348,143444920.588,71.15,359012.0,296,483.436301604
2017-10-20,3046658.56303,331,128443770.369,63.4,370308.0,263,375.328
