date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2014-01-10,,,0,,,,100.0,0.0,2,0.000244140625,0,,,372,2
2014-01-11,,,1428,,,,477450.0,0.117,5867,0.00865176942051,191,,0.0,2235295,9549
2014-01-12,,,2279,,,,144500.0,0.811,3611,0.186774280632,1739,,0.0,1335176,2890
2014-01-13,,,1637,,,,55600.0,1.031,2135,0.611299740686,1569,,0.001,743900,1112
2014-01-14,,,1456,,,,57250.0,3.44604701,2208,1.03501732233,1400,,0.001,873737,1145
2014-01-15,,,1744,,,,48800.0,5.33900769,2707,1.4378016674,1513,,0.001,874694,976
2014-01-16,,,1307,,,,35400.0,2.007,2048,1.73282751056,1310,,0.001,625917,708
2014-01-17,,,617,,,,19350.0,1.31800002,915,2.25693224371,567,,0.001,284326,387
2014-01-18,,,980,,,,22100.0,0.705,1453,2.25693224371,925,,0.001,525851,442
2014-01-19,,,1621,,,,38050.0,2.966,1949,2.25693224371,1599,,0.001,679812,761
2014-01-20,15829.1269064,12463.3170764,2593,69815.0109291,0.072872,14602.0,59650.0,1.538,3099,2.12025101282,2523,2.45446568245,0.001,1093603,1193
2014-01-21,41400.2692845,32158.3224332,2531,205297.080492,0.201994,13404.0,60350.0,12.4904763,3133,2.72480593993,2442,7.2738788212,0.001,1172300,1207
2014-01-22,76288.3689501,54687.6573566,2213,288217.603923,0.27664,21147.0,37900.0,2.4234844,2809,5.65278596723,2120,10.0880845374,0.001,965421,758
2014-01-23,75795.4540459,59689.0038757,2891,337641.580858,0.304511,50128.0,52350.0,2.86500001,3571,5.65717981933,2822,10.626564719,0.001,1225214,1047
2014-01-24,122943.683296,92612.4728184,3418,519589.561338,0.450251,26869.0,45200.0,5.31,4187,7.95296754431,3361,16.1917655108,0.001,1290799,904
2014-01-25,74214.5396678,46740.8287863,3797,473410.480558,0.392546,19322.0,52100.0,3.43725139,4471,7.95296754431,3743,13.103110276,0.001,1355635,1042
2014-01-26,40842.3561501,32169.7805507,1903,420954.659704,0.341476,12561.0,26600.0,1.26431204,2570,12.7429685531,1862,10.5813338243,0.001,825270,532
2014-01-27,49421.4943836,45642.3295946,1225,406508.429319,0.32509,16763.0,17650.0,10.926,1905,13.4449514596,1198,10.6875882467,0.001,675482,353
2014-01-28,40838.3210946,35861.2875078,1204,452754.728053,0.356668,15008.0,19100.0,0.91832416,1756,13.4449514596,1176,11.7022852192,0.001,616826,382
2014-01-29,28506.7906769,23893.6943099,1319,491379.037463,0.38056,7749.0,21650.0,0.7511,1850,13.4449514596,1288,12.9028138733,0.001,540135,433
2014-01-30,37360.9638106,25243.7117631,1367,425729.55908,0.323355,4260.0,25550.0,0.93661326,1960,12.5641582136,1339,10.8803966645,0.001,668856,511
