date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-21,,3,,,,4,
2017-07-22,,,,,,,
2017-07-23,,,,,,,
2017-07-24,,10,,,,18,
2017-07-25,,15,,,,14,
2017-07-26,,68,,,,63,
2017-07-27,,113,,,,94,
2017-07-28,,91,,,,76,
2017-07-29,,49,,,,27,
2017-07-30,,,,,,,
2017-07-31,,,,,,,
2017-08-01,,20,,,,25,
2017-08-02,,19,,,,22,
2017-08-03,,164,,,,151,
2017-08-04,,19,,,,18,
2017-08-05,,6,,,,9,
2017-08-06,,5,,,,8,
2017-08-07,,28,,,,25,
2017-08-08,,48,,,,17,
2017-08-09,,20,,,,17,
2017-08-10,,6,,,,7,
2017-08-11,,9,,,,11,
2017-08-12,,4,,,,6,
2017-08-13,,17,,,,15,
2017-08-14,,23,,,,22,
2017-08-15,,22,,,,12,
2017-08-16,,17,,,,19,
2017-08-17,,18,,,,21,
2017-08-18,,7,,,,10,
2017-08-19,,19,,,,24,
2017-08-20,,15,,,,17,
2017-08-21,,36,,,,37,
2017-08-22,,41,,,,33,
2017-08-23,,31,,,,33,
2017-08-24,,369,,,,521,
2017-08-25,,513,,,,613,
2017-08-26,,359,,,,472,
2017-08-27,3846887.40552,340,0.0,1.06,10689000.0,431,1118.022333
2017-08-28,1701011.3278,147,0.0,1.09,2767610.0,189,980.78745
2017-08-29,517213.320045,98,0.0,0.933622,4040230.0,111,794.481293073
2017-08-30,460016.798018,140,0.0,0.88867,2348320.0,153,684.20036305
2017-08-31,308055.324886,68,0.0,0.641001,2638570.0,76,660.503455425
2017-09-01,413872.473038,151,0.0,0.608858,15663800.0,158,578.998325078
2017-09-02,1919155.50958,256,39179189.6417,1.57,10974200.0,279,1042.10305085
2017-09-03,1861557.39663,398,45356489.6296,1.82,30155700.0,380,786.3430575
2017-09-04,29576810.4574,460,73693030.4,2.96,16344800.0,407,1453.458198
2017-09-05,1697393.24931,601,45650220.562,1.84,16728900.0,265,36.616
2017-09-06,1907081.05199,315,29281001.9252,1.18,8262150.0,265,434.86658
2017-09-07,238052.420605,185,25211847.25,1.01,8630600.0,177,185.2138
2017-09-08,2661762.11465,560,39107109.3101,1.57,15172300.0,448,434.06575
2017-09-09,646456.964247,403,32288598.4663,1.3,4611730.0,310,323.7
2017-09-10,1708296.73349,460,40163448.2342,1.61,6472840.0,312,483.0
2017-09-11,12879453.338,648,39606030.0,1.59,13896400.0,516,483.0515241
2017-09-12,2452027.66372,917,52649831.3556,2.12,20894100.0,708,455.4922396
2017-09-13,2386234.49839,423,45426335.9691,1.82,5015140.0,343,586.60784
2017-09-14,674243.877844,340,47457252.4359,1.9,5627240.0,285,387.6
2017-09-15,516214.671331,303,38579906.763,1.55,4709050.0,266,310.0
2017-09-16,751594.28706,224,43464519.3642,1.75,2172600.0,204,304.255
2017-09-17,507040.184333,174,43004930.2353,1.73,1102610.0,153,264.336907
2017-09-18,616677.316936,202,42115349.0166,1.69,1501820.0,170,347.349925
2017-09-19,681748.078062,256,45413958.3026,1.82,2457140.0,205,477.703226
2017-09-20,298504.891137,194,37721133.0233,1.52,1736010.0,175,295.42036
2017-09-21,357053.820212,201,31577269.9206,1.27,1456350.0,183,278.9161427
2017-09-22,136843.249268,135,32063681.5772,1.29,1572810.0,119,193.1775
2017-09-23,129433.163501,136,36931537.8757,1.48,2115510.0,127,257.17368
2017-09-24,438596.676498,137,44293781.5912,1.78,1746370.0,127,356.0
2017-09-25,381965.470006,207,44799812.1818,1.8,2975160.0,193,360.0
2017-09-26,839598.14973,353,54845374.4667,2.2,10433800.0,351,464.480412
2017-09-27,1822294.21787,622,71297844.5915,2.86,19088400.0,532,461.38092
2017-09-28,9639977.28437,1065,99815004.7568,4.01,36777800.0,965,432.24592
2017-09-29,4727674.13304,622,154893832.318,6.22,23391200.0,580,622.0
2017-09-30,6260399.61798,427,136686694.483,5.49,21174400.0,415,594.29799
2017-10-01,1992851.13383,517,133788447.053,5.37,25880700.0,481,559.4230794
2017-10-02,4848020.61302,768,184512030.398,7.41,22049700.0,678,740.0367
2017-10-03,2975128.04367,495,205016433.371,8.23,17561700.0,483,823.0
